id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
37,dynamic environment,/daɪˈnæmɪk ɪnˈvaɪrənmənt/,動態環境,The joint must maintain contact in a dynamic environment.,接點必須在動態環境下維持接觸。,Vibration and shock are part of the dynamic environment.,振動與衝擊是動態環境的一部分。,Mechanical Integration,3,0,
38,vibration,/vaɪˈbreɪʃən/,振動,Vibration can loosen a poorly designed connection.,振動可能使設計不良的連接鬆脫。,The strap must survive vibration without cracking.,該帶材必須能承受振動而不破裂。,Mechanical Integration,2,0,
70,gasket,/ˈɡæskɪt/,墊片；密封墊,A conductive gasket can improve seam performance.,導電墊片可改善接縫性能。,The gasket must be compressed within the specified range.,墊片必須壓縮在規定範圍內。,Mechanical Integration,3,0,
71,compression set,/kəmˈpreʃən set/,壓縮永久變形,Compression set affects whether a gasket can be reused.,壓縮永久變形會影響墊片是否可重複使用。,Low compression set is important for removable covers.,低壓縮永久變形對可拆蓋板很重要。,Mechanical Integration,4,0,
76,equipment rack,/ɪˈkwɪpmənt ræk/,設備機架；設備架,The avionics panel can be treated like a small equipment rack.,航電板可視為小型設備機架。,An equipment rack should provide defined mounting and bonding points.,設備機架應提供明確的安裝與接合點。,Mechanical Integration,3,0,
77,mounting bracket,/ˈmaʊntɪŋ ˈbrækɪt/,安裝支架,The mounting bracket must have a defined electrical path.,安裝支架必須有明確的電氣路徑。,Do not rely on a painted mounting bracket for RF return.,不要依賴有塗裝的安裝支架作為 RF 回流。,Mechanical Integration,3,0,
78,mounting surface,/ˈmaʊntɪŋ ˈsɜːrfɪs/,安裝面,The mounting surface should be prepared before the connector is installed.,接頭安裝前，安裝面應先完成表面準備。,A painted mounting surface may isolate the chassis.,有塗裝的安裝面可能會使機殼電氣隔離。,Mechanical Integration,3,0,
72,chassis,/ˈʃæsi/,機殼；底盤,The chassis should be connected to the reference plane.,機殼應連接到參考平面。,A powered chassis must have a safe fault-current path.,有供電的機殼必須具有安全的故障電流路徑。,Electrical Safety,3,0,
79,pyrotechnics,/ˌpaɪroʊˈteknɪks/,火工品；爆炸螺栓等火工裝置,Pyrotechnics require special attention to prevent accidental ignition.,火工品需要特別注意，以避免意外點燃。,Wires to pyrotechnics should be carefully shielded and terminated.,連到火工品的線路應仔細屏蔽並妥善終端處理。,System Safety,4,0,
99,plumbing,/ˈplʌmɪŋ/,管路；管線系統,Metallic plumbing can carry lightning current.,金屬管路可能承載雷擊電流。,The fuel plumbing must be reviewed for bonding continuity.,燃料管路必須審查 搭接 連續性。,Vehicle Structure & Systems,Intermediate,0,
233,enclosure shielding integrity,/ɪnˈkloʊʒər ˈʃiːldɪŋ ɪnˈteɡrəti/,機箱屏蔽完整性,Enclosure shielding integrity is maintained across seams and access covers.,機箱屏蔽完整性會在接縫與檢修蓋處維持。,Good enclosure shielding integrity is dependent on low-impedance joints.,良好的機箱屏蔽完整性取決於低阻抗接點。,Special Bonding,5,0,
234,conductive gasket,/kənˈdʌktɪv ˈɡæskɪt/,導電墊片,A conductive gasket is used to bridge irregularities along an enclosure seam.,導電墊片用於跨接機箱接縫的不平整處。,A conductive gasket is selected for compression and shielding effectiveness.,導電墊片會依壓縮特性與屏蔽效能選用。,Special Bonding,4,0,
235,connector backshell,/kəˈnektər ˈbækʃel/,連接器後殼,A connector backshell is bonded to the metal enclosure.,連接器後殼會與金屬機箱接合。,The connector backshell is important for a complete cable-shield termination.,連接器後殼對完整的纜線屏蔽終端很重要。,Special Bonding,4,0,
236,cable shield termination,/ˈkeɪbəl ʃiːld ˌtɜːrmɪˈneɪʃən/,纜線屏蔽終端,A cable shield termination is connected to a low-impedance enclosure surface.,纜線屏蔽終端會連接至低阻抗機箱表面。,A complete cable shield termination is necessary for effective shielding.,完整的纜線屏蔽終端對有效屏蔽是必要的。,Special Bonding,5,0,
237,bonding clamp,/ˈbɑːndɪŋ klæmp/,接合夾具,A bonding clamp is installed without damaging the conduit or hose.,接合夾具安裝時不得損傷導管或軟管。,A bonding clamp is attached to a clean metal contact area.,接合夾具會安裝在清潔的金屬接觸區域。,Special Bonding,3,0,
238,rotating joint,/ˈroʊteɪtɪŋ dʒɔɪnt/,旋轉接頭,A rotating joint is bonded to prevent the accumulation of static charge.,旋轉接頭會進行接合，以防止靜電荷累積。,A rotating joint is commonly bonded with a slip ring and brush assembly.,旋轉接頭通常使用滑環與電刷組件進行接合。,Special Bonding,4,0,
239,slip ring,/ˈslɪp rɪŋ/,滑環,A slip ring is a conductive device used on rotating machinery.,滑環是用於旋轉機械的導電裝置。,A slip ring is paired with a brush to provide a bonding path.,滑環會搭配電刷形成接合路徑。,Special Bonding,3,0,
240,shock mount,/ˈʃɑːk maʊnt/,隔振座；減震座,A shock mount is a support device that isolates vibration and motion.,隔振座是隔離振動與位移的支撐裝置。,A shock mount is bridged by flexible bonding straps when bonding is required.,需要接合時，隔振座會以柔性接合帶跨接。,Special Bonding,3,0,
273,piano hinge,/piˈænoʊ hɪndʒ/,長鉸鏈；鋼琴鉸鏈,A piano hinge is not a reliable bonding path when lubricant is present.,有潤滑劑時，長鉸鏈不是可靠的接合路徑。,A flexible strap across a piano hinge is an alternate electrical path.,跨接長鉸鏈的柔性接合帶是替代電氣路徑。,Special Bonding,4,0,
274,multilayer insulation,/ˌmʌltiˈleɪər ˌɪnsəˈleɪʃən/,多層絕熱材料,Multilayer insulation is a thermal blanket made from several thin layers.,多層絕熱材料是由多層薄膜構成的熱控毯。,Conductive multilayer insulation is bonded to prevent static-charge buildup.,導電多層絕熱材料會進行接合，以防止靜電荷累積。,Special Bonding,5,0,
397,enclosure seam,/ɪnˈkloʊʒər sim/,機箱接縫,"The term ""enclosure seam"" identifies a special consideration in the bonding design.",「機箱接縫」在接合設計中需要特別注意。,"The handbook discusses ""enclosure seam"" in its special bonding guidance.",本手冊將「機箱接縫」列為特殊接合考量。,Special Applications,4,0,
