id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
8,subassembly,/ˌsʌbəˈsembli/,次組件；子組裝件,Every subassembly should have electrical continuity to the next higher assembly.,每個次組件都應與上一層組件具有電氣連續性。,The avionics panel is treated as a subassembly of the ring.,航電板可視為航電環的一個次組件。,Mechanical Integration,3,0,
25,faying surface,/ˈfeɪɪŋ ˈsɜːrfɪs/,接合面；貼合面,The faying surface must be cleaned before assembly.,接合面在組裝前必須清潔。,Paint on the faying surface will degrade the electrical connection.,接合面上的油漆會降低電氣連接品質。,Mechanical Integration,4,0,
26,mating surface,/ˈmeɪtɪŋ ˈsɜːrfɪs/,配合面；接觸配合面,Both mating surfaces must be free of nonconductive films.,兩個配合面都必須沒有非導電薄膜。,The connector flange and panel mating surface require preparation.,接頭法蘭與面板配合面需要進行表面準備。,Mechanical Integration,3,0,
27,metal-to-metal contact,/ˈmetəl tə ˈmetəl ˈkɑːntækt/,金屬對金屬接觸,Metal-to-metal contact is preferred for RF performance.,金屬對金屬接觸對 RF 性能較佳。,A gasket may be needed when metal-to-metal contact is not reliable.,當金屬對金屬接觸不可靠時，可能需要墊片。,Mechanical Integration,3,0,
33,threaded fastener,/ˈθredɪd ˈfæsənər/,螺紋緊固件,A threaded fastener should not be the only current path.,螺紋緊固件不應成為唯一的電流路徑。,The threaded fastener mainly provides mechanical preload.,螺紋緊固件主要提供機械預緊力。,Mechanical Integration,4,0,
34,rivet,/ˈrɪvɪt/,鉚釘,Rivets can provide good contact when installed correctly.,鉚釘若正確安裝，可提供良好接觸。,At least three rivets are often recommended for one junction.,一個接合點通常建議至少使用三個鉚釘。,Mechanical Integration,3,0,
36,preload,/ˈpriːloʊd/,預緊力；預載,Proper preload keeps the joint stable under vibration.,適當的預緊力可讓接點在振動下保持穩定。,Loss of preload may increase contact resistance.,預緊力喪失可能增加接觸電阻。,Mechanical Integration,4,0,
39,jumper,/ˈdʒʌmpər/,跳接線；跨接線,A jumper may be used when direct contact is impractical.,當直接接觸不可行時，可使用跳接線。,"The jumper should be short, wide, and easy to inspect.",跳接線應該短、寬且容易檢查。,Mechanical Integration,3,0,
40,strap,/stræp/,搭接帶；編織帶,A flat strap usually has lower inductance than a round wire.,扁平帶材通常比圓線有較低電感。,Keep the strap as short as possible.,盡可能縮短帶材長度。,Mechanical Integration,3,0,
42,surface area,/ˈsɜːrfɪs ˈeriə/,表面積；接觸面積,Larger surface area improves current carrying capability.,較大的表面積可改善載流能力。,The design should maximize surface area at RF joints.,設計應最大化 RF 接點的接觸面積。,Mechanical Integration,3,0,
217,direct bonding,/dəˈrekt ˈbɑːndɪŋ/,直接接合,Direct bonding is metal-to-metal contact between joined members.,直接接合是相接構件之間的金屬對金屬接觸。,Direct bonding is preferred when the mating surfaces are accessible.,當配合面可接近時，直接接合是優先方法。,Bonding Methods,3,0,
218,indirect bonding,/ˌɪndəˈrekt ˈbɑːndɪŋ/,間接接合,Indirect bonding is a connection made with a conductive jumper or strap.,間接接合是利用導電跨接線或接合帶形成的連接。,Indirect bonding is used when direct metal contact is impractical.,當直接金屬接觸不可行時會使用間接接合。,Bonding Methods,3,0,
219,permanent joint,/ˈpɜːrmənənt dʒɔɪnt/,永久接頭,A permanent joint is formed when mating surfaces become one piece of metal.,永久接頭是在配合面結合成一體金屬時形成。,A welded or brazed joint is considered a permanent joint.,焊接或硬銲接頭被視為永久接頭。,Bonding Methods,3,0,
220,semi-permanent joint,/ˌsemi ˈpɜːrmənənt dʒɔɪnt/,半永久接頭,A semi-permanent joint is held together by removable fasteners.,半永久接頭是以可拆式緊固件固定。,A bolted or riveted assembly is considered a semi-permanent joint.,螺栓或鉚接組件被視為半永久接頭。,Bonding Methods,4,0,
221,contact pressure,/ˈkɑːntækt ˈpreʃər/,接觸壓力,Contact pressure is necessary to maintain a stable conductive interface.,接觸壓力對維持穩定導電介面是必要的。,Adequate contact pressure is maintained by fasteners on the faying surfaces.,配合面上的緊固件會維持足夠的接觸壓力。,Bonding Methods,4,0,
