sentence_key,source_file,source_id,word,example_number,example_en,tense_name_zh,formula,highlights_json,confidence,reviewed_at
409f55642ccef0062f457978c860e5c88cad30b81b0e8db26a72147401d7a87e,EMC航電詞彙整合1.csv,1,consultant,1,We would like to consult with an experienced aerospace Electromagnetic Compatibility (EMC) consultant.,特殊句型/需確認,S + would like + (to + V1),"[""would like""]",0.98,2026-07-26
e977fbd7d88a59c35f33d2b4dffafe818830a0293d37df9ea229dc41d918da09,EMC航電詞彙整合1.csv,1,consultant,2,The consultant should review our grounding and shielding concept.,特殊句型/需確認,S + modal + V1,"[""should review""]",0.98,2026-07-26
8a7bcf2e2235c75bae01f1a73e1aa789472ee8ca783361f00e2ae172aa93606b,EMC航電詞彙整合1.csv,2,system-level,1,This is a system-level Electromagnetic Compatibility (EMC) integration issue.,現在簡單式,S + am / is / are + complement,"[""is""]",0.97,2026-07-26
0a4b8c60201001df978d99d1c25ed40f4fcbf2b9dfc2854bf335f5743c6e76a8,EMC航電詞彙整合1.csv,2,system-level,2,"We need a system-level grounding architecture, not only box-level compliance.",現在簡單式,S + V1 / V-s(es),"[""need""]",0.97,2026-07-26
e5b884d239d7be5622abcf8013ae6ebe33a7f734eb16a7d7191d63c19230a2aa,EMC航電詞彙整合1.csv,3,Electromagnetic Compatibility (EMC),1,Electromagnetic Compatibility (EMC) problems often appear during system integration.,現在簡單式,S + V1 / V-s(es),"[""appear""]",0.97,2026-07-26
12a8823c75f8ded02ede6d9b68febf6025f80d4b5da653cfaf186d1dd8937ad8,EMC航電詞彙整合1.csv,3,Electromagnetic Compatibility (EMC),2,The avionics ring must be designed with Electromagnetic Compatibility (EMC) in mind.,特殊句型/需確認,S + modal + be + past participle,"[""must be designed""]",0.98,2026-07-26
d066064cf37aa6c85aa5b1e4cb343327efae4c3ecdcb693adec6a2acd742ee2e,EMC航電詞彙整合1.csv,4,Electromagnetic Environmental Effects (E3),1,MIL-STD-464 focuses on system-level Electromagnetic Environmental Effects (E3) requirements.,現在簡單式,S + V1 / V-s(es),"[""focuses""]",0.94,2026-07-26
7c2bd8e039ecc8821b69a2f02cbd474d5852f9deb64e87ffab0ef2e30f03d747,EMC航電詞彙整合1.csv,4,Electromagnetic Environmental Effects (E3),2,We need to control Electromagnetic Environmental Effects (E3) risks before vehicle integration.,現在簡單式,S + V1 / V-s(es),"[""need""]",0.97,2026-07-26
d46adf48e95e6fa0bd670c59d2018dbaf51e48d276117de128b5a43925b0804f,EMC航電詞彙整合1.csv,5,integration,1,The issue becomes critical during avionics integration.,現在簡單式,S + V1 / V-s(es),"[""becomes""]",0.97,2026-07-26
c4cf52fc63e2acb75d8a6feb39f23f30f93898f1441efa1043b972247f2ea40b,EMC航電詞彙整合1.csv,5,integration,2,Integration testing may reveal grounding weaknesses.,特殊句型/需確認,S + modal + V1,"[""may reveal grounding""]",0.98,2026-07-26
34821445125bf1c272fef427beeade0d7ff82cf87dd75d40f7976f2ec948817d,EMC航電詞彙整合1.csv,6,compliance,1,Our goal is to support MIL-STD-464 compliance.,現在簡單式,S + am / is / are + complement,"[""is""]",0.97,2026-07-26
aeb4431a1b7e8ffad496492eed6007dee4a70b25dadded308bbe6c1624599119,EMC航電詞彙整合1.csv,6,compliance,2,Box-level compliance does not guarantee system-level compliance.,現在簡單式,S + do / does not + V1,"[""does""]",0.97,2026-07-26
f20b1a7d4f45f3e01cf25101098262ebe1c6e604bcecd61b3b9c551a6d33a842,EMC航電詞彙整合1.csv,7,requirement,1,We need to understand the applicable Electromagnetic Compatibility (EMC) requirements.,現在簡單式,S + V1 / V-s(es),"[""need""]",0.97,2026-07-26
db6ec89f9b5e48aab979b9724dc0112d1333d5333c22a0e8fdfc40410eb369a7,EMC航電詞彙整合1.csv,7,requirement,2,The grounding design should meet vehicle-level requirements.,特殊句型/需確認,S + modal + V1,"[""should meet""]",0.98,2026-07-26
50508c8c83645158da40cd7acae72de86f382a83ddc3e3272830d9274420d242,EMC航電詞彙整合1.csv,17,high-frequency,1,High-frequency currents are very sensitive to layout.,現在簡單式,S + am / is / are + complement,"[""are""]",0.97,2026-07-26
a08ff96135899787262844fda22ff1b9c3acc82ddfab2f6462ea506d57a07a6b,EMC航電詞彙整合1.csv,17,high-frequency,2,DC resistance alone does not represent high-frequency behavior.,現在簡單式,S + do / does not + V1,"[""does""]",0.97,2026-07-26
2fa22af90ccdce9bb76e41f59eb4119614bbd471b9b00873591e09cb65be2f06,EMC航電詞彙整合1.csv,73,susceptibility,1,Susceptibility tests evaluate how equipment reacts to external fields.,現在簡單式,S + V1 / V-s(es),"[""evaluate""]",0.97,2026-07-26
c1f2c2cc367969ced56bc5ea008e2f93332256a3cc8fcbda42de9ac3b9032c59,EMC航電詞彙整合1.csv,73,susceptibility,2,Poor shielding increases system susceptibility.,現在簡單式,S + V1 / V-s(es),"[""increases""]",0.94,2026-07-26
a68fc892a67a66127b0684a9c85b7ca4a5a75c357587c87c66c840a2cd401862,EMC航電詞彙整合1.csv,74,radiated emission,1,Radiated emission may increase after harness integration.,特殊句型/需確認,S + modal + V1,"[""may increase""]",0.98,2026-07-26
5274c38fc081e0351a68619bea62629483e1f0757e7cd023724c1ae52ba2d43a,EMC航電詞彙整合1.csv,74,radiated emission,2,The avionics assembly should be checked for radiated emission issues.,特殊句型/需確認,S + modal + be + past participle,"[""should be checked""]",0.98,2026-07-26
9643def35cdbc4df22d3782e589b674bf54d6f81d5f63f6f1f52363c3b3c246b,EMC航電詞彙整合1.csv,75,conducted emission,1,Conducted emission can travel through power lines.,特殊句型/需確認,S + modal + V1,"[""can travel""]",0.98,2026-07-26
be9d51fca6b765a9bca984565a7570f59f7caec256b9066dd97c120901712ac9,EMC航電詞彙整合1.csv,75,conducted emission,2,Power filters help reduce conducted emission.,現在簡單式,S + V1 / V-s(es),"[""help""]",0.97,2026-07-26
2496bc0dc09ecc55d8c5646dcfaf45d21b47656d1a8fc39a6b278d154af249eb,EMC航電詞彙整合1.csv,23,avionics ring,1,The avionics ring supports multiple flight subsystems.,現在簡單式,S + V1 / V-s(es),"[""supports""]",0.94,2026-07-26
e37097678f08c7ade1ca29f27bf93332a60e2f79409d93dbf05de4944ac77c8c,EMC航電詞彙整合1.csv,23,avionics ring,2,The avionics ring does not provide a natural metal reference.,現在簡單式,S + do / does not + V1,"[""does not provide""]",0.97,2026-07-26
95ec51aad84cb5e96388d550304cd7a376a6c8a71d7cc004c5ad95ec6b55eb8b,EMC航電詞彙整合1.csv,25,enclosure,1,Each subsystem enclosure should be bonded to the reference network.,特殊句型/需確認,S + modal + be + past participle,"[""should be bonded""]",0.98,2026-07-26
b4b6fdb92d0e18ef899398fb3f13af28103a6041f805e4549dcf077c0f13399d,EMC航電詞彙整合1.csv,25,enclosure,2,A floating enclosure may increase radiated emissions.,特殊句型/需確認,S + modal + V1,"[""may increase radiated""]",0.98,2026-07-26
45ad4259ce257ff7b73deb426d8bda5a00b298950727fd5612bb1623b18c6f5d,EMC航電詞彙整合1.csv,8,grounding,1,Grounding is difficult when the structure is non-conductive.,現在簡單式,S + am / is / are + complement,"[""is""]",0.97,2026-07-26
285014299bb3ffc5ecb5aeb227aad38f8447e9752e6a40df16b480e5f1172316,EMC航電詞彙整合1.csv,8,grounding,2,We need a clear grounding strategy for the avionics rings.,現在簡單式,S + V1 / V-s(es),"[""need""]",0.97,2026-07-26
910a7aab5ee891c0b22425d005347cdbbf8a75667b10436c2b5421fce78809e5,EMC航電詞彙整合1.csv,9,bonding,1,Bonding provides a low-impedance path between metal parts.,現在簡單式,S + V1 / V-s(es),"[""provides""]",0.97,2026-07-26
caafb4b90bfc053379c881a42281dcedcff789902588c0d46d110b88d71ef926,EMC航電詞彙整合1.csv,9,bonding,2,Each enclosure should have a defined bonding path.,特殊句型/需確認,S + modal + have + past participle,"[""should have""]",0.98,2026-07-26
6774a85fec496cb581b5bffb92b7439c9c8bc8bf5011d1a195fccfbfb1ede212,EMC航電詞彙整合1.csv,10,shielding,1,Shielding reduces radiated emissions and susceptibility.,現在簡單式,S + V1 / V-s(es),"[""reduces""]",0.97,2026-07-26
318a2b0334ecf5b3b07d3bfc129c661932529ac24f0e26e63eb721c5b18c2604,EMC航電詞彙整合1.csv,10,shielding,2,The composite ring does not naturally provide shielding.,現在簡單式,S + do / does not + V1,"[""does not naturally provide""]",0.97,2026-07-26
6b11a4ff10139d3dd3b42b0df5bf80d0d8fcbe0dc5591492ed2d43837967c154,EMC航電詞彙整合1.csv,11,ground reference,1,The system needs a stable ground reference.,現在簡單式,S + V1 / V-s(es),"[""needs""]",0.97,2026-07-26
09cebf83fa7ad12f53609863232cb7ef1446fbf5d849f3c91f286f5d0f1c2ed0,EMC航電詞彙整合1.csv,11,ground reference,2,Cable shields must be terminated to a proper ground reference.,特殊句型/需確認,S + modal + be + past participle,"[""must be terminated""]",0.98,2026-07-26
54c88a1bf540e8167d575108c25cd0af2bc73a4ef38b7855b51f195e1401d4b7,EMC航電詞彙整合1.csv,14,ground plane,1,A ground plane can provide a local return path.,特殊句型/需確認,S + modal + V1,"[""can provide""]",0.98,2026-07-26
b6bda0925b64495405ba009f9a49c0da6f7713046aa9a99f8150f3dcf1cd48e6,EMC航電詞彙整合1.csv,14,ground plane,2,We may need to add a metallic ground plane to each composite panel.,特殊句型/需確認,S + modal + V1,"[""may need""]",0.98,2026-07-26
6ec57ab385a7349d21e771ec382bf7c88464eb79f5a3117d01c990e94e87f7de,EMC航電詞彙整合1.csv,15,return path,1,High-frequency current follows the lowest impedance return path.,現在簡單式,S + V1 / V-s(es),"[""follows""]",0.97,2026-07-26
cfd9b7e0dc7366096f2b78588ac7a613da28dab478a9633b26f9750c0481d12a,EMC航電詞彙整合1.csv,15,return path,2,An uncontrolled return path may cause Electromagnetic Compatibility (EMC) problems.,特殊句型/需確認,S + modal + V1,"[""may cause""]",0.98,2026-07-26
e4413c35a90419669532cf9645c024ea36b4ab4eddb0671180a0e786bd39e2b3,EMC航電詞彙整合1.csv,16,low-impedance path,1,Bonding straps should provide a low-impedance path.,特殊句型/需確認,S + modal + V1,"[""should provide""]",0.98,2026-07-26
fb08edbeac5cb34fc835b3bfe68bf799c71977a16f5788d16b14bf5c6b78b1ba,EMC航電詞彙整合1.csv,16,low-impedance path,2,A long wire is not a low-impedance path at high frequency.,現在簡單式,S + am / is / are + complement,"[""is not""]",0.97,2026-07-26
8908164da8532dbad0f1dfc5bf135c3051894b3850421ee75356274739324236,EMC航電詞彙整合1.csv,18,ground loop,1,A ground loop can introduce noise into sensor signals.,特殊句型/需確認,S + modal + V1,"[""can introduce""]",0.98,2026-07-26
3ffd170f1cca4cd7306c7e116130f26f2903fcd46c8aa4461833196bd8a82c97,EMC航電詞彙整合1.csv,18,ground loop,2,We need to avoid large uncontrolled ground loops.,現在簡單式,S + V1 / V-s(es),"[""need""]",0.97,2026-07-26
6b7312c7c47674f615f386dd62a7d93f0a7a8eba98da96b1437ad019471fbfda,EMC航電詞彙整合1.csv,19,controlled point,1,Power return may be connected to chassis at a controlled point.,特殊句型/需確認,S + modal + be + past participle,"[""may be connected""]",0.98,2026-07-26
b524cff430478479fa4c139cb7124df28a372bf18525d499d82702c2b1810a5f,EMC航電詞彙整合1.csv,19,controlled point,2,A controlled point helps manage return current flow.,現在簡單式,S + V1 / V-s(es),"[""helps""]",0.97,2026-07-26
13752ec4a8b36da25572d664b7582a8f6175389e6816ef692650e9482709da5e,EMC航電詞彙整合1.csv,20,multi-point bonding,1,Multi-point bonding is often preferred for high-frequency Electromagnetic Compatibility (EMC) control.,現在簡單式,S + am / is / are + past participle,"[""is often preferred""]",0.97,2026-07-26
1c929b35569ea4ee6c0fedbab90b04bb96373c47fb6828bf0193280e91fb8993,EMC航電詞彙整合1.csv,20,multi-point bonding,2,The rings may require multi-point bonding around the circumference.,特殊句型/需確認,S + modal + V1,"[""may require""]",0.98,2026-07-26
fb5312cdd733df63c343a3838ea9303314db1cec8ed71f9d25f33754c2b68196,EMC航電詞彙整合1.csv,30,bonding strap,1,A bonding strap should be short and wide.,特殊句型/需確認,S + modal + V1,"[""should be""]",0.98,2026-07-26
a079e12bc055abf6d5f0dc18ef423e5a96377465bf4b10f051148b4b27c31204,EMC航電詞彙整合1.csv,30,bonding strap,2,Long bonding straps are ineffective at high frequency.,現在簡單式,S + am / is / are + complement,"[""are""]",0.97,2026-07-26
e8e73f6a172e497bfc0eb04c0c7e9e70df9a75839530bd91fb7c27a6d512cbf3,EMC航電詞彙整合1.csv,31,bonding hub,1,A central bonding hub may connect the three panels together.,特殊句型/需確認,S + modal + V1,"[""may connect""]",0.98,2026-07-26
