id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
6,design scope,/dɪˈzaɪn skoʊp/ | https://youglish.com/pronounce/design%20scope/english,設計範圍,The design scope is limited to conductive materials and standard fasteners.,設計範圍限於導電材料與標準固定件。,Adhesive and protective film are outside the current design scope.,黏著劑與保護膜不在目前設計範圍內。,Scope / Baseline,Basic,0,
37,baseline,/ˈbeɪslaɪn/ | https://youglish.com/pronounce/baseline/english,基準；基準配置,The A4 baseline uses 100 micrometer copper foil and a 1 millimeter busbar.,A4 基準配置使用 100 微米銅箔與 1 毫米銅排。,A clear baseline helps compare weight changes between options.,明確的基準有助於比較各方案的重量變化。,Scope / Baseline,Basic,0,
36,trade-off,/ˈtreɪd ɔːf/ | https://youglish.com/pronounce/trade-off/english,折衷；權衡,The upper-only busbar option is a trade-off between weight and EMC risk.,僅上方銅排方案是重量與 EMC 風險之間的折衷。,Every trade-off should be reviewed with the consultant before design freeze.,每個折衷方案都應在設計凍結前與顧問確認。,Scope / Baseline,Basic,0,
35,flight article,/flaɪt ˈɑːrtɪkəl/ | https://youglish.com/pronounce/flight%20article/english,飛行件；實際飛行硬體,The final flight article should use the 100 micrometer copper foil baseline.,最終飛行件應以 100 微米銅箔為基準。,Prototype weights may differ from the flight article weight.,原型件重量可能與飛行件重量不同。,Scope / Baseline,Intermediate,0,
7,inner wall,/ˈɪnər wɔːl/ | https://youglish.com/pronounce/inner%20wall/english,內壁,Copper foil is attached to the inner wall of the avionics ring.,銅箔貼附在航電環內壁。,The A4 inner wall has a larger foil area than the A1 inner wall.,A4 內壁的銅箔面積比 A1 內壁大。,Structure / Geometry,Basic,0,
17,geometry,/dʒiˈɑːmətri/ | https://youglish.com/pronounce/geometry/english,幾何尺寸；幾何形狀,The weight model is based on the ring geometry and copper coverage.,重量模型以環體幾何尺寸與銅箔覆蓋率為基礎。,Incorrect geometry will lead to an incorrect weight estimate.,幾何尺寸錯誤會導致重量估算錯誤。,Structure / Geometry,Intermediate,0,
18,circumference,/sərˈkʌmfərəns/ | https://youglish.com/pronounce/circumference/english,圓周長,The upper ring busbar length is based on the ring circumference.,上方環形銅排長度依據環體圓周長計算。,The circumference is calculated from the ring diameter.,圓周長由環體直徑計算。,Structure / Geometry,Intermediate,0,
8,coverage ratio,/ˈkʌvərɪdʒ ˈreɪʃioʊ/ | https://youglish.com/pronounce/coverage%20ratio/english,覆蓋率,The coverage ratio of the A1 inner-wall copper foil is about 80 percent.,A1 內壁銅箔覆蓋率約為 80%。,Changing the coverage ratio directly changes the copper foil weight.,改變覆蓋率會直接改變銅箔重量。,Structure / Geometry,Intermediate,0,
1,copper foil,/ˈkɑːpər fɔɪl/ | https://youglish.com/pronounce/copper%20foil/english,銅箔,The inner wall is covered with copper foil to provide a conductive surface.,內壁貼上銅箔，以提供導電表面。,We selected 100 micrometer copper foil for the flight configuration.,我們選用 100 微米銅箔作為飛行件配置。,Conductive Materials / EMC Hardware,Intermediate,0,
2,busbar,/ˈbʌsbɑːr/ | https://youglish.com/pronounce/busbar/english,匯流排；銅排；導電排,The top busbar connects each subsystem to the reference ring.,上方銅排將各子系統連接到參考環。,A thicker busbar increases weight but can reduce resistance.,較厚的銅排會增加重量，但可以降低電阻。,Conductive Materials / EMC Hardware,Intermediate,0,
