id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
84,quality record,/ˈkwɑːləti ˈrekərd/,品質紀錄,Quality records should include bonding resistance measurements.,品質紀錄應包含接合電阻量測值。,The quality record supports final acceptance.,品質紀錄可支援最終驗收。,Verification,3,0,
91,verification matrix,/ˌverɪfɪˈkeɪʃən ˈmeɪtrɪks/,驗證矩陣,A verification matrix maps each bonding path to a test method.,驗證矩陣會將每條接合路徑對應到測試方法。,The avionics ring should have its own verification matrix.,航電環應建立自己的驗證矩陣。,Verification,4,0,
241,bond verification,/bɑːnd ˌverɪfɪˈkeɪʃən/,接合驗證,Bond verification is the process of confirming that a bond meets its requirements.,接合驗證是確認接合符合要求的流程。,Bond verification is performed by inspection or resistance measurement.,接合驗證會以檢查或電阻量測執行。,Verification & Drawings,4,0,
242,milliohm meter,/ˈmɪliˌoʊm ˈmiːtər/,毫歐姆計,A milliohm meter is used to measure very low electrical resistance.,毫歐姆計用於量測極低的電阻。,A milliohm meter is connected with separate current and voltage leads.,毫歐姆計會使用分離的電流與電壓導線連接。,Verification & Drawings,4,0,
243,four-wire method,/ˈfɔːr waɪər ˈmeθəd/,四線式量測法,A four-wire method is used to reduce lead-resistance error.,四線式量測法用於降低導線電阻造成的誤差。,The four-wire method is suitable for low-resistance bond measurements.,四線式量測法適合低電阻接合量測。,Verification & Drawings,4,0,
244,verification requirement,/ˌverɪfɪˈkeɪʃən rɪˈkwaɪərmənt/,驗證要求,A verification requirement is a defined method for confirming compliance.,驗證要求是確認符合性的明確方法。,Each verification requirement is linked to the applicable bond class.,每項驗證要求都會連結至適用的接合分類。,Verification & Drawings,4,0,
245,test data sheet,/test ˈdeɪtə ʃiːt/,測試資料表,A test data sheet is a record of measured bond values.,測試資料表是接合量測值的紀錄。,The test data sheet is retained as objective evidence of verification.,測試資料表會保留作為驗證的客觀證據。,Verification & Drawings,3,0,
426,workmanship resistance measurement,/ˈwərkmənˌʃɪp rɪˈzɪstəns ˈmɛʒərmənt/,工藝電阻量測,"The term ""workmanship resistance measurement"" supports communication or verification of the bonding requirement.",「工藝電阻量測」有助於傳達或驗證接合要求。,"The engineering team reviews ""workmanship resistance measurement"" before releasing the drawing.",工程團隊會在圖面發行前審查「工藝電阻量測」。,Verification & Drawings,4,0,
83,workmanship,/ˈwɜːrkmənʃɪp/,工藝品質；施工品質,Resistance measurement can verify workmanship quality.,電阻量測可驗證施工品質。,Poor workmanship may create an intermittent connection.,施工品質不良可能造成間歇性連接。,Manufacturing,3,0,
427,mounted equipment,/ˈmaʊnɪd ɪkˈwɪpmənt/,已安裝設備,"The term ""mounted equipment"" supports communication or verification of the bonding requirement.",「已安裝設備」有助於傳達或驗證接合要求。,"The engineering team reviews ""mounted equipment"" before releasing the drawing.",工程團隊會在圖面發行前審查「已安裝設備」。,Verification & Drawings,4,0,
428,structural joint,/ˈstrəkʧərəl ʤɔɪnt/,結構接頭,"The term ""structural joint"" supports communication or verification of the bonding requirement.",「結構接頭」有助於傳達或驗證接合要求。,"The engineering team reviews ""structural joint"" before releasing the drawing.",工程團隊會在圖面發行前審查「結構接頭」。,Verification & Drawings,4,0,
429,ground strap measurement,/graʊnd stræp ˈmɛʒərmənt/,接地帶量測,"The term ""ground strap measurement"" supports communication or verification of the bonding requirement.",「接地帶量測」有助於傳達或驗證接合要求。,"The engineering team reviews ""ground strap measurement"" before releasing the drawing.",工程團隊會在圖面發行前審查「接地帶量測」。,Verification & Drawings,4,0,
430,MLI attach point,/em el aɪ əˈtæʧ pɔɪnt/,多層絕熱材固定點,"The term ""MLI attach point"" supports communication or verification of the bonding requirement.",「多層絕熱材固定點」有助於傳達或驗證接合要求。,"The engineering team reviews ""MLI attach point"" before releasing the drawing.",工程團隊會在圖面發行前審查「多層絕熱材固定點」。,Verification & Drawings,4,0,
431,connector body,/kəˈnɛktər ˈbɑdi/,連接器本體,"The term ""connector body"" supports communication or verification of the bonding requirement.",「連接器本體」有助於傳達或驗證接合要求。,"The engineering team reviews ""connector body"" before releasing the drawing.",工程團隊會在圖面發行前審查「連接器本體」。,Verification & Drawings,4,0,
432,adjacent metal part,/əˈʤeɪsənt ˈmɛtəl pɑrt/,相鄰金屬零件,"The term ""adjacent metal part"" supports communication or verification of the bonding requirement.",「相鄰金屬零件」有助於傳達或驗證接合要求。,"The engineering team reviews ""adjacent metal part"" before releasing the drawing.",工程團隊會在圖面發行前審查「相鄰金屬零件」。,Verification & Drawings,4,0,
