id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
10,electromagnetic environment,/ɪˌlektroʊmæɡˈnetɪk ɪnˈvaɪrənmənt/,電磁環境,The launch vehicle is exposed to a severe electromagnetic environment.,運載火箭會暴露在嚴苛的電磁環境中。,The electromagnetic environment includes onboard and external sources.,電磁環境包含機載與外部來源。,EMC / RF,4,0,
11,onboard,/ˈɑːnbɔːrd/,機載的；機上的,Onboard electronics can generate unintentional RF noise.,機載電子設備可能產生非預期 RF 雜訊。,The onboard power system must not disturb sensitive receivers.,機載電源系統不應干擾敏感接收器。,EMC / RF,3,0,
12,external source,/ɪkˈstɜːrnəl sɔːrs/,外部來源,An external source may couple RF energy into the vehicle harness.,外部來源可能把 RF 能量耦合進載具線路。,Pad RF transmitters are one possible external source.,發射場 RF 發射機是一種可能的外部來源。,EMC / RF,3,0,
24,RF impedance,/ˌɑːr ˈef ɪmˈpiːdəns/,RF 阻抗；射頻阻抗,RF impedance is more important than DC resistance for high-frequency bonding.,對高頻接合而言，RF 阻抗比直流電阻更重要。,The reference ring should minimize RF impedance.,參考環應盡量降低 RF 阻抗。,EMC / RF,4,0,
30,aperture,/ˈæpərtʃər/,孔洞；開口；電磁洩漏開口,An unbonded seam can become an RF aperture.,未良好接合的接縫可能形成 RF 開口。,Reducing aperture size improves enclosure performance.,縮小開口尺寸可改善外殼性能。,EMC / RF,4,0,
41,length-to-width ratio,/leŋθ tə wɪdθ ˈreɪʃiˌoʊ/,長寬比,The length-to-width ratio of the strap should be kept low.,帶材的長寬比應盡量低。,A high length-to-width ratio increases inductance.,高長寬比會增加電感。,EMC / RF,4,0,
73,reference plane,/ˈrefərəns pleɪn/,參考平面,The copper layer acts as a local reference plane.,銅層可作為局部參考平面。,All critical shields should return to the reference plane.,所有關鍵屏蔽都應回到參考平面。,EMC / RF,4,0,
75,equipotential,/ˌiːkwɪpəˈtenʃəl/,等電位的,The goal is to make the structure as equipotential as practical.,目標是讓結構盡可能接近等電位。,An equipotential reference reduces unwanted voltage differences.,等電位參考可減少非預期電位差。,EMC / RF,4,0,
13,fault current,/fɔːlt ˈkɜːrənt/,故障電流,The structure must carry fault current until the protection device opens.,結構必須承載故障電流，直到保護裝置動作斷開。,A small contact area may overheat under fault current.,接觸面積太小可能在故障電流下過熱。,Electrical Safety,4,0,
14,short circuit,/ˌʃɔːrt ˈsɜːrkɪt/,短路,A short circuit to the chassis can create a shock hazard.,短路到機殼可能造成觸電危害。,The design should prevent a short circuit from entering the composite structure.,設計應避免短路電流進入複材結構。,Electrical Safety,3,0,
15,current return path,/ˈkɜːrənt rɪˈtɜːrn pæθ/,電流回流路徑,A dedicated current return path is preferred for power circuits.,電源電路最好使用專用的電流回流路徑。,Do not rely on the composite panel as the current return path.,不要依賴複材板作為電流回流路徑。,Electrical Design,4,0,
16,voltage drop,/ˈvoʊltɪdʒ drɑːp/,壓降,The voltage drop must be controlled in the power return path.,電源回流路徑中的壓降必須受到控制。,Excessive voltage drop may reduce equipment margin.,過大的壓降可能降低設備裕度。,Electrical Design,3,0,
80,arc discharge,/ɑːrk ˈdɪstʃɑːrdʒ/,電弧放電,High impedance at a joint can cause arc discharge.,接點高阻抗可能造成電弧放電。,Arc discharge near fuel or pyrotechnics is dangerous.,燃料或火工品附近的電弧放電很危險。,System Safety,4,0,
100,strike,/straɪk/,擊中；雷擊；打擊,Lightning strikes can induce large currents in the structure.,雷擊可能在結構中感應大電流。,A strike path should stay outside the vehicle.,雷擊路徑應盡量保持在載具外部。,Lightning & Transients,Basic,0,
119,extremity,/ɪkˈstreməti/,端部；末端,Lightning current may enter one extremity of the vehicle.,雷擊電流可能從載具一端進入。,Bonding should provide a current path from one extremity to another.,搭接 應提供從一端到另一端的電流路徑。,Lightning & Transients,Advanced,0,
120,spark,/spɑːrk/,火花；產生火花,A poor joint can create a spark during a lightning event.,不良接合可能在雷擊事件中產生火花。,Sparks must not jump between metallic structures near fuel.,火花不得在燃料附近的金屬結構間跳躍。,Lightning & Transients,Basic,0,
125,soldered terminals,/ˈsɑːdərd ˈtɜːrmɪnəlz/,焊接端子,Do not use soldered terminals for lightning current paths.,雷擊電流路徑不要使用焊接端子。,Soldered terminals may fail under high-current transients.,焊接端子可能在高電流暫態下失效。,Lightning & Transients,Intermediate,0,
134,ignition,/ɪɡˈnɪʃən/,點燃；著火,Fuel and pyrotechnics should be enclosed by a Faraday cage to provide an adequate margin against ignition.,燃料與火工品應由 法拉第籠 包覆，以提供足夠的防點燃裕度。,A bond must carry lightning current without heating enough to become an ignition hazard.,搭接 必須能承載雷擊電流，且不得因過熱而形成點燃危害。,Lightning & Transients,Advanced,0,
103,inadvertently,/ˌɪnədˈvɜːrtəntli/,無意地；不慎地,Primary power may be inadvertently shorted to the enclosure.,主電源可能不慎短路到外殼。,Do not place the strap where it can be inadvertently damaged.,不要將 搭接帶 放在可能被不慎損壞的位置。,Safety & Fault Protection,Advanced,0,
112,shock hazard,/ʃɑːk ˈhæzərd/,電擊危害；觸電風險,A floating chassis can become a shock hazard.,浮接 機殼 可能變成電擊危害。,Class H bonding reduces the shock hazard during a fault.,H 類搭接 可降低故障時的電擊危害。,Safety & Fault Protection,Intermediate,0,
132,accidental,/ˌæksɪˈdentəl/,意外的；非預期的,An accidental fault may place primary power on the equipment enclosure.,意外故障可能使設備外殼帶有主電源電壓。,Proper bonding provides a safe path for accidental current.,適當的 搭接 可為意外電流提供安全路徑。,Safety & Fault Protection,Intermediate,0,
108,dedicated,/ˈdedɪkeɪtɪd/,專用的；專門的,Use a dedicated power return instead of relying on structure.,使用專用電源回流，而不是依賴結構。,A dedicated bonding pad simplifies inspection.,專用 搭接墊 可簡化檢查。,Power & Return Path,Intermediate,0,
131,rely on,/rɪˈlaɪ ɑːn/,依賴；仰賴,Do not rely on the vehicle structure as the primary power return.,不要依賴載具結構作為主要電源回流路徑。,Bonding jumpers should not rely on adjacent parts for their connection.,搭接跨接線 不應依賴相鄰零件形成連接。,Power & Return Path,Intermediate,0,
118,interference,/ˌɪntərˈfɪrəns/,干擾,High currents can create electromagnetic interference.,高電流可能產生電磁干擾。,Shielding reduces interference coupled into sensitive equipment.,屏蔽 可降低耦合進敏感設備的干擾。,EMC / EMI,Intermediate,0,
122,around fuel,/əˈraʊnd ˈfjuːəl/,在燃料周圍；燃料附近,Bonding near areas around fuel requires special attention.,燃料周圍區域的 搭接 需要特別注意。,Avoid sparks around fuel during fault or lightning conditions.,在故障或雷擊條件下，應避免燃料周圍產生火花。,Safety & Hazardous Areas,Intermediate,0,
129,flammable liquids,/ˈflæməbəl ˈlɪkwɪdz/,易燃液體,Joints near flammable liquids are considered hazardous.,靠近易燃液體的接合處被視為危險。,Bonding near flammable liquids must be reviewed carefully.,易燃液體附近的 搭接 必須仔細審查。,Safety & Hazardous Areas,Intermediate,0,
