id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
23,micro-ohmmeter,/ˈmaɪkroʊ ˈoʊmˌmiːtər/,微歐姆計,A micro-ohmmeter is used to measure very low bonding resistance.,微歐姆計用於量測很低的接合電阻。,Use a four-wire method with the micro-ohmmeter.,使用微歐姆計時應採用四線式量測。,Verification,4,0,
84,quality record,/ˈkwɑːləti ˈrekərd/,品質紀錄,Quality records should include bonding resistance measurements.,品質紀錄應包含接合電阻量測值。,The quality record supports final acceptance.,品質紀錄可支援最終驗收。,Verification,3,0,
91,verification matrix,/ˌverɪfɪˈkeɪʃən ˈmeɪtrɪks/,驗證矩陣,A verification matrix maps each bonding path to a test method.,驗證矩陣會將每條接合路徑對應到測試方法。,The avionics ring should have its own verification matrix.,航電環應建立自己的驗證矩陣。,Verification,4,0,
92,work instruction,/wɜːrk ɪnˈstrʌkʃən/,作業指導書；工作指令,The work instruction should describe how to prepare the surface.,作業指導書應說明如何進行表面準備。,Do not leave critical bonding steps only in the presentation.,不要只把關鍵接合步驟留在簡報中。,Manufacturing,3,0,
85,engineering drawing,/ˌendʒɪˈnɪrɪŋ ˈdrɔːɪŋ/,工程圖面,The engineering drawing must identify each bonded area.,工程圖面必須標示每個接合區域。,Manufacturing follows the notes on the engineering drawing.,製造單位依照工程圖面上的註記執行。,Drawing & Documentation,3,0,
86,drawing note,/ˈdrɔːɪŋ noʊt/,圖面註記,A drawing note should specify cleaning and resistance requirements.,圖面註記應指定清潔與電阻要求。,Use a local drawing note for a special bonding location.,對特殊接合位置使用局部圖面註記。,Drawing & Documentation,3,0,
87,general note,/ˈdʒenrəl noʊt/,一般註記,A general note applies to the entire drawing.,一般註記適用於整張圖面。,The general note can define the default cleaning requirement.,一般註記可定義預設清潔要求。,Drawing & Documentation,2,0,
88,local note,/ˈloʊkəl noʊt/,局部註記,A local note applies only to a specific location.,局部註記只適用於特定位置。,Use a local note when one joint has a different resistance limit.,當某個接點有不同電阻限制時，使用局部註記。,Drawing & Documentation,2,0,
89,flag note,/flæɡ noʊt/,旗標註記；符號註記,A flag note can be reused at multiple drawing locations.,旗標註記可重複用於圖面多個位置。,The flag note identifies surfaces that require preparation.,旗標註記可標示需要表面準備的位置。,Drawing & Documentation,3,0,
127,satisfactory,/ˌsætɪsˈfæktəri/,可接受的；令人滿意的,Most crimped connectors are satisfactory for this application.,大多數壓接式接頭對此應用是可接受的。,A low resistance reading is a satisfactory workmanship indicator.,低電阻讀值是可接受的作業品質指標。,Quality & Verification,Intermediate,0,
135,intermittent,/ˌɪntərˈmɪtənt/,間歇性的；時有時無的,Movement of a loose bond strap can create an intermittent connection and electrical noise.,鬆動 搭接帶 的移動可能造成間歇性連接與電氣雜訊。,An intermittent bond may cause arcing during vibration.,間歇性的 搭接 可能在振動期間造成電弧。,Quality & Verification,Intermediate,0,
241,bond verification,/bɑːnd ˌverɪfɪˈkeɪʃən/,接合驗證,Bond verification is the process of confirming that a bond meets its requirements.,接合驗證是確認接合符合要求的流程。,Bond verification is performed by inspection or resistance measurement.,接合驗證會以檢查或電阻量測執行。,Verification & Drawings,4,0,
242,milliohm meter,/ˈmɪliˌoʊm ˈmiːtər/,毫歐姆計,A milliohm meter is used to measure very low electrical resistance.,毫歐姆計用於量測極低的電阻。,A milliohm meter is connected with separate current and voltage leads.,毫歐姆計會使用分離的電流與電壓導線連接。,Verification & Drawings,4,0,
243,four-wire method,/ˈfɔːr waɪər ˈmeθəd/,四線式量測法,A four-wire method is used to reduce lead-resistance error.,四線式量測法用於降低導線電阻造成的誤差。,The four-wire method is suitable for low-resistance bond measurements.,四線式量測法適合低電阻接合量測。,Verification & Drawings,4,0,
244,verification requirement,/ˌverɪfɪˈkeɪʃən rɪˈkwaɪərmənt/,驗證要求,A verification requirement is a defined method for confirming compliance.,驗證要求是確認符合性的明確方法。,Each verification requirement is linked to the applicable bond class.,每項驗證要求都會連結至適用的接合分類。,Verification & Drawings,4,0,
245,test data sheet,/test ˈdeɪtə ʃiːt/,測試資料表,A test data sheet is a record of measured bond values.,測試資料表是接合量測值的紀錄。,The test data sheet is retained as objective evidence of verification.,測試資料表會保留作為驗證的客觀證據。,Verification & Drawings,3,0,
246,fabrication drawing,/ˌfæbrɪˈkeɪʃən ˈdrɔːɪŋ/,製造圖,A fabrication drawing is used to communicate bonding details for a part.,製造圖用於傳達零件的接合細節。,A fabrication drawing is prepared with the required materials and finishes.,製造圖會標示所需材料與表面處理。,Verification & Drawings,3,0,
247,assembly drawing,/əˈsembli ˈdrɔːɪŋ/,組裝圖,An assembly drawing is used to show bonding between joined parts.,組裝圖用於顯示相接零件之間的接合。,An assembly drawing is prepared with local or flag notes where necessary.,必要時，組裝圖會加入局部註記或旗標註記。,Verification & Drawings,3,0,
248,bonding symbol,/ˈbɑːndɪŋ ˈsɪmbəl/,接合符號,A bonding symbol is used to identify a required bonding location.,接合符號用於識別必要的接合位置。,A bonding symbol is placed near the applicable drawing note.,接合符號會放在適用的圖面註記附近。,Verification & Drawings,3,0,
275,production inspection,/prəˈdʌkʃən ɪnˈspekʃən/,生產檢驗,Production inspection is used to confirm that bonding details are correctly built.,生產檢驗用於確認接合細節已正確製作。,A clear drawing note is important for repeatable production inspection.,清楚的圖面註記對可重複的生產檢驗很重要。,Verification & Drawings,4,0,
276,bonding note,/ˈbɑːndɪŋ noʊt/,接合註記,A bonding note is a drawing instruction for preparing or verifying a bond.,接合註記是用於處理或驗證接合的圖面指示。,A bonding note is placed where manufacturing personnel can apply it correctly.,接合註記會放在製造人員能正確執行的位置。,Verification & Drawings,3,0,
426,workmanship resistance measurement,/ˈwərkmənˌʃɪp rɪˈzɪstəns ˈmɛʒərmənt/,工藝電阻量測,"The term ""workmanship resistance measurement"" supports communication or verification of the bonding requirement.",「工藝電阻量測」有助於傳達或驗證接合要求。,"The engineering team reviews ""workmanship resistance measurement"" before releasing the drawing.",工程團隊會在圖面發行前審查「工藝電阻量測」。,Verification & Drawings,4,0,
427,mounted equipment,/ˈmaʊnɪd ɪkˈwɪpmənt/,已安裝設備,"The term ""mounted equipment"" supports communication or verification of the bonding requirement.",「已安裝設備」有助於傳達或驗證接合要求。,"The engineering team reviews ""mounted equipment"" before releasing the drawing.",工程團隊會在圖面發行前審查「已安裝設備」。,Verification & Drawings,4,0,
428,structural joint,/ˈstrəkʧərəl ʤɔɪnt/,結構接頭,"The term ""structural joint"" supports communication or verification of the bonding requirement.",「結構接頭」有助於傳達或驗證接合要求。,"The engineering team reviews ""structural joint"" before releasing the drawing.",工程團隊會在圖面發行前審查「結構接頭」。,Verification & Drawings,4,0,
429,ground strap measurement,/graʊnd stræp ˈmɛʒərmənt/,接地帶量測,"The term ""ground strap measurement"" supports communication or verification of the bonding requirement.",「接地帶量測」有助於傳達或驗證接合要求。,"The engineering team reviews ""ground strap measurement"" before releasing the drawing.",工程團隊會在圖面發行前審查「接地帶量測」。,Verification & Drawings,4,0,
430,MLI attach point,/em el aɪ əˈtæʧ pɔɪnt/,多層絕熱材固定點,"The term ""MLI attach point"" supports communication or verification of the bonding requirement.",「多層絕熱材固定點」有助於傳達或驗證接合要求。,"The engineering team reviews ""MLI attach point"" before releasing the drawing.",工程團隊會在圖面發行前審查「多層絕熱材固定點」。,Verification & Drawings,4,0,
431,connector body,/kəˈnɛktər ˈbɑdi/,連接器本體,"The term ""connector body"" supports communication or verification of the bonding requirement.",「連接器本體」有助於傳達或驗證接合要求。,"The engineering team reviews ""connector body"" before releasing the drawing.",工程團隊會在圖面發行前審查「連接器本體」。,Verification & Drawings,4,0,
432,adjacent metal part,/əˈʤeɪsənt ˈmɛtəl pɑrt/,相鄰金屬零件,"The term ""adjacent metal part"" supports communication or verification of the bonding requirement.",「相鄰金屬零件」有助於傳達或驗證接合要求。,"The engineering team reviews ""adjacent metal part"" before releasing the drawing.",工程團隊會在圖面發行前審查「相鄰金屬零件」。,Verification & Drawings,4,0,
433,area to be bonded,/ˈɛriə tɪ bi ˈbɑndɪd/,待接合區域,"The term ""area to be bonded"" supports communication or verification of the bonding requirement.",「待接合區域」有助於傳達或驗證接合要求。,"The engineering team reviews ""area to be bonded"" before releasing the drawing.",工程團隊會在圖面發行前審查「待接合區域」。,Verification & Drawings,4,0,
434,class of bond,/klæs əv bɑnd/,接合等級,"The term ""class of bond"" supports communication or verification of the bonding requirement.",「接合等級」有助於傳達或驗證接合要求。,"The engineering team reviews ""class of bond"" before releasing the drawing.",工程團隊會在圖面發行前審查「接合等級」。,Verification & Drawings,4,0,
435,strap dimension,/stræp dɪˈmɛnʃən/,接合帶尺寸,"The term ""strap dimension"" supports communication or verification of the bonding requirement.",「接合帶尺寸」有助於傳達或驗證接合要求。,"The engineering team reviews ""strap dimension"" before releasing the drawing.",工程團隊會在圖面發行前審查「接合帶尺寸」。,Verification & Drawings,4,0,
436,strap location,/stræp loʊˈkeɪʃən/,接合帶位置,"The term ""strap location"" supports communication or verification of the bonding requirement.",「接合帶位置」有助於傳達或驗證接合要求。,"The engineering team reviews ""strap location"" before releasing the drawing.",工程團隊會在圖面發行前審查「接合帶位置」。,Verification & Drawings,4,0,
