id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
93,traceable,/ˈtreɪsəbəl/,可追溯的,Each measurement result should be traceable to a specific joint.,每個量測結果都應可追溯到特定接點。,Requirements should be traceable from system level to design drawings.,要求應可從系統層級追溯到設計圖面。,Requirements & Process,3,0,
136,specific,/spəˈsɪfɪk/,特定的；明確的,The handbook helps determine bonding requirements applicable to specific hardware.,本手冊協助判定適用於特定硬體的 搭接 要求。,Program documents may include requirements for a specific project.,計畫文件可能包含特定專案的要求。,Requirements & Process,Basic,0,
83,workmanship,/ˈwɜːrkmənʃɪp/,工藝品質；施工品質,Resistance measurement can verify workmanship quality.,電阻量測可驗證施工品質。,Poor workmanship may create an intermittent connection.,施工品質不良可能造成間歇性連接。,Manufacturing,3,0,
123,adequate,/ˈædɪkwət/,足夠的；適當的,The design must provide an adequate margin against ignition.,設計必須提供足夠的防點燃裕度。,The contact area must be adequate for the expected current.,接觸面積必須足以承載預期電流。,General Engineering,Basic,0,
109,coordination,/koʊˌɔːrdɪˈneɪʃən/,協調；協同作業,Coordination with the power distribution designer may be required.,可能需要與電源分配設計工程師協調。,Good coordination between EMC and structural teams reduces rework.,EMC 與結構團隊良好協調可減少重工。,Team Coordination,Intermediate,0,
249,bonding checklist,/ˈbɑːndɪŋ ˈtʃeklɪst/,電氣接合檢查表,A bonding checklist is used to review the design before release.,電氣接合檢查表用於設計發布前的審查。,The bonding checklist is organized by design and verification topics.,電氣接合檢查表會依設計與驗證主題編排。,Design Review,3,0,
250,inspection access,/ɪnˈspekʃən ˈækses/,檢查可達性,Inspection access is necessary for examining a completed bond.,檢查可達性對檢視完成的接合是必要的。,Adequate inspection access is considered during mechanical layout.,機構配置時會考量足夠的檢查可達性。,Design Review,4,0,
251,installation sequence,/ˌɪnstəˈleɪʃən ˈsiːkwəns/,安裝順序,An installation sequence is planned so bonding surfaces remain clean.,安裝順序會經過規劃，使接合面保持清潔。,The installation sequence is included in the work instructions when needed.,必要時，安裝順序會納入工作指示。,Design Review,4,0,
252,environmental exposure,/ɪnˌvaɪrənˈmentəl ɪkˈspoʊʒər/,環境暴露,Environmental exposure is considered when selecting corrosion protection.,選擇防蝕措施時會考量環境暴露。,Expected environmental exposure is reviewed for each bonding location.,每個接合位置都會審查預期的環境暴露。,Design Review,4,0,
253,measurement point,/ˈmeʒərmənt pɔɪnt/,量測點,A measurement point is a defined location for checking bond resistance.,量測點是檢查接合電阻的明確位置。,Each measurement point is accessible to the verification technician.,每個量測點都能讓驗證技術人員接近。,Design Review,3,0,
