id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
1,consultant,/kənˈsʌl.tənt/,顧問,We would like to consult with an experienced aerospace Electromagnetic Compatibility (EMC) consultant.,我們想請教一位有航太 Electromagnetic Compatibility (EMC) 經驗的顧問。,The consultant should review our grounding and shielding concept.,顧問應該審查我們的接地與屏蔽概念。,Consultant / Program Context,2,0,
2,system-level,/ˈsɪs.təm ˈlev.əl/,系統級,This is a system-level Electromagnetic Compatibility (EMC) integration issue.,這是系統級 Electromagnetic Compatibility (EMC) 整合問題。,"We need a system-level grounding architecture, not only box-level compliance.",我們需要系統級接地架構，而不只是單機合規。,EMC / E3 Core Terms,3,0,
3,Electromagnetic Compatibility (EMC),/ˌiː.emˈsiː/,電磁相容性,Electromagnetic Compatibility (EMC) problems often appear during system integration.,Electromagnetic Compatibility (EMC) 問題常在系統整合階段出現。,The avionics ring must be designed with Electromagnetic Compatibility (EMC) in mind.,航電環設計時必須考慮 Electromagnetic Compatibility (EMC)。,EMC / E3 Core Terms,3,1,2026-06-17
4,Electromagnetic Environmental Effects (E3),/ˌiː θriː/,電磁環境效應,MIL-STD-464 focuses on system-level Electromagnetic Environmental Effects (E3) requirements.,MIL-STD-464 著重於系統級 Electromagnetic Environmental Effects (E3) 要求。,We need to control Electromagnetic Environmental Effects (E3) risks before vehicle integration.,我們需要在載具整合前控制 Electromagnetic Environmental Effects (E3) 風險。,EMC / E3 Core Terms,4,1,2026-06-17
5,integration,/ˌɪn.təˈɡreɪ.ʃən/,整合,The issue becomes critical during avionics integration.,這個問題在航電整合時會變得很關鍵。,Integration testing may reveal grounding weaknesses.,整合測試可能暴露接地弱點。,EMC / E3 Core Terms,2,0,
6,compliance,/kəmˈplaɪ.əns/,符合規範；合規,Our goal is to support MIL-STD-464 compliance.,我們的目標是支撐 MIL-STD-464 合規。,Box-level compliance does not guarantee system-level compliance.,單機合規不代表系統級一定合規。,EMC / E3 Core Terms,3,0,
7,requirement,/rɪˈkwaɪr.mənt/,要求；規範要求,We need to understand the applicable Electromagnetic Compatibility (EMC) requirements.,我們需要了解適用的 Electromagnetic Compatibility (EMC) 要求。,The grounding design should meet vehicle-level requirements.,接地設計應符合載具級要求。,EMC / E3 Core Terms,2,0,
17,high-frequency,/ˌhaɪ ˈfriː.kwən.si/,高頻,High-frequency currents are very sensitive to layout.,高頻電流對佈局非常敏感。,DC resistance alone does not represent high-frequency behavior.,單靠直流電阻無法代表高頻行為。,EMC / E3 Core Terms,3,0,
73,susceptibility,/səˌsep.təˈbɪl.ə.ti/,敏感度；易受干擾性,Susceptibility tests evaluate how equipment reacts to external fields.,敏感度測試評估設備對外部場的反應。,Poor shielding increases system susceptibility.,屏蔽不良會增加系統敏感度。,EMC / E3 Core Terms,4,1,2026-06-17
74,radiated emission,/ˈreɪ.diˌeɪ.tɪd ɪˈmɪʃ.ən/,輻射發射,Radiated emission may increase after harness integration.,線束整合後，輻射發射可能增加。,The avionics assembly should be checked for radiated emission issues.,航電組件應檢查輻射發射問題。,EMC / E3 Core Terms,4,1,2026-06-17
75,conducted emission,/kənˈdʌk.tɪd ɪˈmɪʃ.ən/,傳導發射,Conducted emission can travel through power lines.,傳導發射可透過電源線傳播。,Power filters help reduce conducted emission.,電源濾波器有助於降低傳導發射。,EMC / E3 Core Terms,4,1,2026-06-17
23,avionics ring,/ˌeɪ.viˈɑː.nɪks rɪŋ/,航電環,The avionics ring supports multiple flight subsystems.,航電環支撐多個飛行子系統。,The avionics ring does not provide a natural metal reference.,航電環沒有提供天然的金屬參考面。,Avionics Ring / Enclosure,3,1,2026-06-17
25,enclosure,/ɪnˈkloʊ.ʒɚ/,外殼；機箱,Each subsystem enclosure should be bonded to the reference network.,每個子系統外殼都應搭接到參考網路。,A floating enclosure may increase radiated emissions.,浮接外殼可能增加輻射發射。,Avionics Ring / Enclosure,3,1,2026-06-17
8,grounding,/ˈɡraʊn.dɪŋ/,接地,Grounding is difficult when the structure is non-conductive.,當結構不導電時，接地會變得困難。,We need a clear grounding strategy for the avionics rings.,我們需要明確的航電環接地策略。,Grounding / Bonding / Shielding,3,1,2026-06-17
9,bonding,/ˈbɑːn.dɪŋ/,搭接；電氣連接；等電位連接,Bonding provides a low-impedance path between metal parts.,搭接提供金屬部件之間的低阻抗路徑。,Each enclosure should have a defined bonding path.,每個外殼都應有明確的搭接路徑。,Grounding / Bonding / Shielding,4,1,2026-06-17
10,shielding,/ˈʃiːl.dɪŋ/,屏蔽,Shielding reduces radiated emissions and susceptibility.,屏蔽可降低輻射發射與敏感度。,The composite ring does not naturally provide shielding.,複合材質航電環本身不會自然提供屏蔽。,Grounding / Bonding / Shielding,3,1,2026-06-17
11,ground reference,/ɡraʊnd ˈref.ər.əns/,接地參考；地參考,The system needs a stable ground reference.,系統需要穩定的接地參考。,Cable shields must be terminated to a proper ground reference.,線纜屏蔽層必須端接到適當的地參考。,Grounding / Bonding / Shielding,4,1,2026-06-17
14,ground plane,/ɡraʊnd pleɪn/,接地平面,A ground plane can provide a local return path.,接地平面可提供局部回流路徑。,We may need to add a metallic ground plane to each composite panel.,我們可能需要在每片複合板上增加金屬接地平面。,Grounding / Bonding / Shielding,3,0,
