id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
3,circumferential,/sərˌkʌmfəˈrenʃəl/,環向的；沿圓周的,A circumferential reference ring is installed along the inner wall.,環向參考環安裝在內壁周圍。,The circumferential path reduces the return loop area.,環向路徑可降低回流迴路面積。,Mechanical / EMC,4,0,
4,continuous,/kənˈtɪnjuəs/,連續的,The metal layer should be continuous around the ring.,金屬層應沿著環形結構連續一圈。,A continuous path is better than several isolated metal strips.,連續路徑比數段孤立金屬條更好。,Design Requirement,2,0,
5,open-ended,/ˌoʊpən ˈendɪd/,開口的；非封閉的,The A1 ring is open-ended at the top and bottom.,A1 航電環上下兩端是開口的。,An open-ended structure cannot be treated as a fully enclosed shield.,開口結構不能視為完整封閉屏蔽體。,Mechanical Structure,3,0,
10,low-impedance,/loʊ ɪmˈpiːdəns/,低阻抗的,The reference ring should provide a low-impedance path.,參考環應提供低阻抗路徑。,A low-impedance connection is essential for RF return current.,低阻抗連接對 RF 回流電流很重要。,EMC / Electrical,3,0,
11,low-inductance,/loʊ ɪnˈdʌktəns/,低電感的,Use short and wide conductors to create a low-inductance path.,使用短而寬的導體建立低電感路徑。,A low-inductance path is more important than DC resistance at high frequency.,在高頻時，低電感路徑比 DC 電阻更重要。,EMC / Electrical,4,0,
13,resonance,/ˈrezənəns/,共振,The bonding path should avoid unwanted resonance.,搭接路徑應避免不必要的共振。,A long strap may resonate at certain frequencies.,很長的搭接帶可能在特定頻率產生共振。,EMC / RF,4,0,
14,joint,/dʒɔɪnt/,接合點；搭接點,Each joint should be inspected and measured.,每個接合點都應檢查與量測。,A loose joint can increase resistance and noise.,鬆動的接合點會增加電阻與雜訊。,Mechanical / Verification,3,0,
15,vehicle structure,/ˈviːəkəl ˈstrʌktʃər/,載具結構；火箭結構,The equipment case should be connected to the vehicle structure.,設備外殼應連接到載具結構。,"In a non-conductive ring, the vehicle structure must be defined carefully.",在非導電航電環中，必須謹慎定義載具結構參考。,Avionics Structure,3,0,
16,structural element,/ˈstrʌktʃərəl ˈelɪmənt/,結構元件,Each structural element should be part of the controlled reference network.,每個結構元件都應納入受控參考網路。,An isolated structural element may become a noise source.,孤立的結構元件可能變成雜訊源。,Mechanical / EMC,3,0,
17,interconnected,/ˌɪntərkəˈnektɪd/,互相連接的,The A1 and A4 reference rings should be interconnected.,A1 與 A4 的參考環應互相連接。,Interconnected metal paths reduce potential differences.,互連的金屬路徑可降低電位差。,EMC / Bonding,3,0,
