id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
105,incorporate,/ɪnˈkɔːrpəreɪt/,納入；整合；包含,The designer must incorporate mechanical and thermal requirements.,設計師必須納入機械與熱要求。,The panel design should incorporate dedicated bonding points.,板件設計應納入專用 搭接 點。,Design Integration,Intermediate,0,
209,electrical bond,/ɪˈlektrɪkəl bɑːnd/,電氣接合,An electrical bond is a conductive connection between two items.,電氣接合是兩個物件之間的導電連接。,A reliable electrical bond is necessary for current return and protection.,可靠的電氣接合對電流回路與防護很重要。,Bonding Design,3,0,
210,bond classification,/bɑːnd ˌklæsɪfɪˈkeɪʃən/,接合分類,A bond classification is based on the purpose of the electrical bond.,接合分類是依電氣接合的用途決定。,Each bond classification is associated with different electrical characteristics.,每種接合分類都對應不同的電氣特性。,Bonding Design,4,0,
104,characteristics,/ˌkærəktəˈrɪstɪks/,特性；特徵,Each bond class has different characteristics.,每一種搭接類別 都有不同特性。,Material characteristics affect bonding performance.,材料特性會影響 搭接 性能。,General Engineering,Intermediate,0,
112,shock hazard,/ʃɑːk ˈhæzərd/,電擊危害；觸電風險,A floating chassis can become a shock hazard.,浮接 機殼 可能變成電擊危害。,Class H bonding reduces the shock hazard during a fault.,H 類搭接 可降低故障時的電擊危害。,Safety & Fault Protection,Intermediate,0,
15,current return path,/ˈkɜːrənt rɪˈtɜːrn pæθ/,電流回流路徑,A dedicated current return path is preferred for power circuits.,電源電路最好使用專用的電流回流路徑。,Do not rely on the composite panel as the current return path.,不要依賴複材板作為電流回流路徑。,Electrical Design,4,0,
108,dedicated,/ˈdedɪkeɪtɪd/,專用的；專門的,Use a dedicated power return instead of relying on structure.,使用專用電源回流，而不是依賴結構。,A dedicated bonding pad simplifies inspection.,專用 搭接墊 可簡化檢查。,Power & Return Path,Intermediate,0,
109,coordination,/koʊˌɔːrdɪˈneɪʃən/,協調；協同作業,Coordination with the power distribution designer may be required.,可能需要與電源分配設計工程師協調。,Good coordination between EMC and structural teams reduces rework.,EMC 與結構團隊良好協調可減少重工。,Team Coordination,Intermediate,0,
107,especially,/ɪˈspeʃəli/,尤其；特別是,"Large systems, especially those with EMI concerns, need a dedicated return.",大型系統，尤其是有 EMI 疑慮者，需要專用回流。,This is especially important near fuel systems.,這在燃料系統附近尤其重要。,General English,Basic,0,
16,voltage drop,/ˈvoʊltɪdʒ drɑːp/,壓降,The voltage drop must be controlled in the power return path.,電源回流路徑中的壓降必須受到控制。,Excessive voltage drop may reduce equipment margin.,過大的壓降可能降低設備裕度。,Electrical Design,3,0,
