id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
225,interference frequency spectrum,/ˌɪntərˈfɪrəns ˈfriːkwənsi ˈspektrəm/,干擾頻率頻譜,The interference frequency spectrum is used to evaluate bond impedance.,干擾頻率頻譜用於評估接合阻抗。,A broad interference frequency spectrum is important for radio-frequency bonding.,寬廣的干擾頻率頻譜對射頻接合很重要。,Bond Factors,5,0,
227,contact surface area,/ˈkɑːntækt ˈsɜːrfɪs ˈeriə/,接觸表面積,Contact surface area is selected to carry the expected current.,接觸表面積會依預期承載電流選定。,A larger contact surface area is helpful for reducing joint impedance.,較大的接觸表面積有助於降低接點阻抗。,Bond Factors,3,0,
43,surface condition,/ˈsɜːrfɪs kənˈdɪʃən/,表面狀態,Surface condition affects contact resistance.,表面狀態會影響接觸電阻。,Roughness and hardness are part of surface condition.,粗糙度與硬度屬於表面狀態的一部分。,Materials & Surface,3,0,
368,surface roughness,/ˈsərfəs ˈrəfnəs/,表面粗糙度,"The handbook uses ""surface roughness"" when it explains surface preparation or corrosion protection.",「表面粗糙度」會影響表面處理或腐蝕防護。,"The team reviews ""surface roughness"" before sealing the bond joint.",團隊會在密封接合處前評估「表面粗糙度」。,Surface & Corrosion,4,0,
369,real contact area,/ril ˈkɑnˌtækt ˈɛriə/,實際接觸面積,"The handbook uses ""real contact area"" when it explains surface preparation or corrosion protection.",「實際接觸面積」會影響表面處理或腐蝕防護。,"The team reviews ""real contact area"" before sealing the bond joint.",團隊會在密封接合處前評估「實際接觸面積」。,Surface & Corrosion,4,0,
370,apparent contact area,/əˈpɛrənt ˈkɑnˌtækt ˈɛriə/,表觀接觸面積,"The handbook uses ""apparent contact area"" when it explains surface preparation or corrosion protection.",「表觀接觸面積」會影響表面處理或腐蝕防護。,"The team reviews ""apparent contact area"" before sealing the bond joint.",團隊會在密封接合處前評估「表觀接觸面積」。,Surface & Corrosion,4,0,
371,microscopic peak,/ˌmaɪkrəˈskɑpɪk pik/,微觀凸峰,"The handbook uses ""microscopic peak"" when it explains surface preparation or corrosion protection.",「微觀凸峰」會影響表面處理或腐蝕防護。,"The team reviews ""microscopic peak"" before sealing the bond joint.",團隊會在密封接合處前評估「微觀凸峰」。,Surface & Corrosion,4,0,
372,elastic deformation,/ɪˈlæstɪk ˌdifɔrˈmeɪʃən/,彈性變形,"The handbook uses ""elastic deformation"" when it explains surface preparation or corrosion protection.",「彈性變形」會影響表面處理或腐蝕防護。,"The team reviews ""elastic deformation"" before sealing the bond joint.",團隊會在密封接合處前評估「彈性變形」。,Surface & Corrosion,4,0,
373,plastic deformation,/ˈplæstɪk ˌdifɔrˈmeɪʃən/,塑性變形,"The handbook uses ""plastic deformation"" when it explains surface preparation or corrosion protection.",「塑性變形」會影響表面處理或腐蝕防護。,"The team reviews ""plastic deformation"" before sealing the bond joint.",團隊會在密封接合處前評估「塑性變形」。,Surface & Corrosion,4,0,
374,surface hardness,/ˈsərfəs ˈhɑrdnəs/,表面硬度,"The handbook uses ""surface hardness"" when it explains surface preparation or corrosion protection.",「表面硬度」會影響表面處理或腐蝕防護。,"The team reviews ""surface hardness"" before sealing the bond joint.",團隊會在密封接合處前評估「表面硬度」。,Surface & Corrosion,4,0,
26,mating surface,/ˈmeɪtɪŋ ˈsɜːrfɪs/,配合面；接觸配合面,Both mating surfaces must be free of nonconductive films.,兩個配合面都必須沒有非導電薄膜。,The connector flange and panel mating surface require preparation.,接頭法蘭與面板配合面需要進行表面準備。,Mechanical Integration,3,0,
375,finishing process,/ˈfɪnɪʃɪŋ ˈprɔˌsɛs/,表面處理製程,"The handbook uses ""finishing process"" when it explains surface preparation or corrosion protection.",「表面處理製程」會影響表面處理或腐蝕防護。,"The team reviews ""finishing process"" before sealing the bond joint.",團隊會在密封接合處前評估「表面處理製程」。,Surface & Corrosion,4,0,
376,contaminant removal,/kənˈtæmənənt rɪˈmuvəl/,污染物去除,"The handbook uses ""contaminant removal"" when it explains surface preparation or corrosion protection.",「污染物去除」會影響表面處理或腐蝕防護。,"The team reviews ""contaminant removal"" before sealing the bond joint.",團隊會在密封接合處前評估「污染物去除」。,Surface & Corrosion,4,0,
377,dust removal,/dəst rɪˈmuvəl/,灰塵去除,"The handbook uses ""dust removal"" when it explains surface preparation or corrosion protection.",「灰塵去除」會影響表面處理或腐蝕防護。,"The team reviews ""dust removal"" before sealing the bond joint.",團隊會在密封接合處前評估「灰塵去除」。,Surface & Corrosion,4,0,
378,grease removal,/gris rɪˈmuvəl/,油脂去除,"The handbook uses ""grease removal"" when it explains surface preparation or corrosion protection.",「油脂去除」會影響表面處理或腐蝕防護。,"The team reviews ""grease removal"" before sealing the bond joint.",團隊會在密封接合處前評估「油脂去除」。,Surface & Corrosion,4,0,
379,oil removal,/ɔɪl rɪˈmuvəl/,油污去除,"The handbook uses ""oil removal"" when it explains surface preparation or corrosion protection.",「油污去除」會影響表面處理或腐蝕防護。,"The team reviews ""oil removal"" before sealing the bond joint.",團隊會在密封接合處前評估「油污去除」。,Surface & Corrosion,4,0,
380,corrosion product,/kərˈoʊʒən ˈprɑdəkt/,腐蝕產物,"The handbook uses ""corrosion product"" when it explains surface preparation or corrosion protection.",「腐蝕產物」會影響表面處理或腐蝕防護。,"The team reviews ""corrosion product"" before sealing the bond joint.",團隊會在密封接合處前評估「腐蝕產物」。,Surface & Corrosion,4,0,
381,alkaline solution,/ˈælkəˌlaɪn səˈluʃən/,鹼性溶液,"The handbook uses ""alkaline solution"" when it explains surface preparation or corrosion protection.",「鹼性溶液」會影響表面處理或腐蝕防護。,"The team reviews ""alkaline solution"" before sealing the bond joint.",團隊會在密封接合處前評估「鹼性溶液」。,Surface & Corrosion,4,0,
