id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
104,characteristics,/ˌkærəktəˈrɪstɪks/,特性；特徵,Each bond class has different characteristics.,每一種搭接類別 都有不同特性。,Material characteristics affect bonding performance.,材料特性會影響 搭接 性能。,General Engineering,Intermediate,0,
107,especially,/ɪˈspeʃəli/,尤其；特別是,"Large systems, especially those with EMI concerns, need a dedicated return.",大型系統，尤其是有 EMI 疑慮者，需要專用回流。,This is especially important near fuel systems.,這在燃料系統附近尤其重要。,General English,Basic,0,
121,particularly,/pərˈtɪkjələrli/,特別地；尤其,This is particularly important around fuel and pyrotechnics.,這在燃料與火工品周圍特別重要。,Class R bonding is particularly sensitive to strap length.,R 類搭接對 搭接帶 長度特別敏感。,General English,Basic,0,
124,against,/əˈɡenst/,防止；對抗；針對,The Faraday cage provides protection against ignition.,法拉第籠 提供防止點燃的保護。,The bonding path should protect against arcing at joints.,搭接路徑 應防止接合點電弧。,General English,Basic,0,
111,electrical,/ɪˈlektrɪkəl/,電氣的；電的,Electrical equipment must be bonded to structure.,電氣設備必須 搭接 到結構。,The electrical path should not depend on paint or adhesive.,電氣路徑不應依賴油漆或膠材。,Electrical Engineering,Basic,0,
113,historically,/hɪˈstɔːrɪkəli/,歷史上；過去以來,"Historically, Class R bonding has been associated with 2.5 milliohms.",歷史上，R 類搭接 通常與 2.5 mΩ 相關。,"Historically, DC resistance was used as a workmanship indicator.",過去以來，DC 電阻常被用作品質指標。,Technical Writing,Intermediate,0,
114,associated,/əˈsoʊʃieɪtɪd/,相關聯的；伴隨的,Class R bonding is associated with RF suppression performance.,R 類搭接 與 RF 抑制性能相關。,The risk is associated with high current and fast rise time.,此風險與高電流及快速上升時間相關。,Technical Writing,Intermediate,0,
115,unfortunately,/ʌnˈfɔːrtʃənətli/,不幸的是；可惜的是,"Unfortunately, low DC resistance does not guarantee low RF impedance.",可惜的是，低 DC 電阻不保證低 RF 阻抗。,"Unfortunately, long straps can behave poorly at high frequency.",可惜的是，長 搭接帶 在高頻下表現可能很差。,Technical Writing,Intermediate,0,
116,relatively easy with,/ˈrelətɪvli ˈiːzi wɪð/,使用……相對容易,Measuring DC resistance is relatively easy with a micro-ohmmeter.,使用 微歐姆計 量測 DC 電阻相對容易。,Bond inspection is relatively easy with clear drawing notes.,有清楚圖面註記時，搭接 檢查相對容易。,Technical Writing,Intermediate,0,
117,realistically,/ˌriːəˈlɪstɪkli/,實際上；務實地,A direct RF bond may not be realistically obtained with shock mounts.,使用 隔振座 時，直接 RF 搭接 可能實際上無法達成。,Choose a method that can be realistically manufactured and inspected.,選擇能實際製造與檢查的方法。,Design Feasibility,Intermediate,0,
257,capacitive reactance,/kəˈpæsətɪv riˈæktəns/,容抗,Capacitive reactance is the opposition of a capacitor to alternating current.,容抗是電容器對交流電所呈現的阻礙。,Capacitive reactance is dependent on frequency and capacitance.,容抗取決於頻率與電容量。,Glossary,5,0,
258,inductive reactance,/ɪnˈdʌktɪv riˈæktəns/,感抗,Inductive reactance is the opposition of an inductor to alternating current.,感抗是電感器對交流電所呈現的阻礙。,Inductive reactance is greater when frequency or inductance increases.,當頻率或電感增加時，感抗會變大。,Glossary,5,0,
259,conductance,/kənˈdʌktəns/,電導,Conductance is the reciprocal of electrical resistance.,電導是電阻的倒數。,Conductance is expressed in siemens.,電導以西門子為單位表示。,Glossary,4,0,
260,surface resistance,/ˈsɜːrfɪs rɪˈzɪstəns/,表面電阻,Surface resistance is measured along the surface of a material.,表面電阻是沿材料表面量測的電阻。,Surface resistance is important when evaluating static-charge dissipation.,評估靜電荷消散時，表面電阻很重要。,Glossary,4,0,
261,bulk resistivity,/bʌlk ˌriːzɪˈstɪvəti/,體積電阻率,Bulk resistivity is an intrinsic electrical property of a material.,體積電阻率是材料本身的電氣特性。,Bulk resistivity is used to compare conductive and insulating materials.,體積電阻率用於比較導電與絕緣材料。,Glossary,5,0,
262,electrostatic charge,/ɪˌlektroʊˈstætɪk tʃɑːrdʒ/,靜電荷,Electrostatic charge is an imbalance of electric charge on an item.,靜電荷是物件上電荷不平衡的狀態。,Electrostatic charge is dissipated through a suitable bonding path.,靜電荷會經由適當的接合路徑消散。,Glossary,4,0,
263,degreasing,/diːˈɡriːsɪŋ/,除油,Degreasing is a cleaning process that removes oil and grease.,除油是移除油與油脂的清潔程序。,Degreasing is completed before a bonding surface is prepared.,接合面處理前會先完成除油。,Cleaning Methods,3,0,
264,abrasive blasting,/əˈbreɪsɪv ˈblæstɪŋ/,磨料噴砂,Abrasive blasting is a process that cleans or roughens a metal surface.,磨料噴砂是清潔或粗化金屬表面的程序。,Abrasive blasting is controlled to avoid excessive material removal.,磨料噴砂會受到控制，以避免移除過多材料。,Cleaning Methods,4,0,
279,solvent cleaning,/ˈsɑːlvənt ˈkliːnɪŋ/,溶劑清潔,Solvent cleaning is a method for removing oil and loose contamination.,溶劑清潔是移除油污與鬆散污染物的方法。,Solvent cleaning is completed with a material compatible with the base metal.,溶劑清潔會使用與基材金屬相容的材料完成。,Cleaning Methods,3,0,
280,oxide film,/ˈɑːksaɪd fɪlm/,氧化膜,An oxide film is a surface layer formed by reaction with oxygen.,氧化膜是與氧反應後形成的表面層。,An excessive oxide film is removed before an electrical bond is assembled.,組裝電氣接合前會移除過厚的氧化膜。,Cleaning Methods,4,0,
483,phase angle,/feɪz ˈæŋgəl/,相位角,"The term ""phase angle"" appears in the handbook glossary or cleaning guidance.",「相位角」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""phase angle"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「相位角」。,Glossary & Cleaning,4,0,
484,complex quantity,/ˈkɑmplɛks kˈwɑntəti/,複數量,"The term ""complex quantity"" appears in the handbook glossary or cleaning guidance.",「複數量」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""complex quantity"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「複數量」。,Glossary & Cleaning,4,0,
485,imaginary part,/ˌɪˈmæʤəˌnɛri pɑrt/,虛部,"The term ""imaginary part"" appears in the handbook glossary or cleaning guidance.",「虛部」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""imaginary part"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「虛部」。,Glossary & Cleaning,4,0,
