id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
1,integration-stage,/ˌɪn.təˈɡreɪ.ʃən steɪdʒ/,整合階段,EMC problems often appear during the integration stage.,EMC 問題常在整合階段出現。,Integration-stage verification should include bonding and power checks.,整合階段驗證應包含搭接與電源檢查。,Overall / Introduction,4,0,
2,EMC,/ˌiː em ˈsiː/,電磁相容性,EMC must be considered before system-level testing.,在系統級測試前必須考慮電磁相容性。,The EMC plan defines how noise risks are controlled.,EMC 計畫定義如何管控雜訊風險。,Overall / Introduction,3,0,
3,introduction,/ˌɪn.trəˈdʌk.ʃən/,介紹、導論,The introduction explains the purpose of the EMC plan.,導論說明 EMC 計畫的目的。,The introduction summarizes the scope and applicable standards.,導論摘要說明範圍與適用標準。,Overall / Introduction,2,0,
4,scope,/skoʊp/,範圍,The scope of this document covers vehicle-level EMC risks.,本文件範圍涵蓋載具級 EMC 風險。,The scope must clearly define what is included and excluded.,範圍必須清楚定義包含與排除的項目。,Overall / Introduction,2,0,
5,issue,/ˈɪʃ.uː/,問題、議題,Grounding issues may cause unexpected noise.,接地問題可能造成非預期雜訊。,The team should record each EMC issue during integration.,團隊應在整合期間記錄每個 EMC 問題。,Overall / Introduction,2,0,
6,surface,/ˈsɝː.fɪs/,浮現、出現,Many EMC issues surface only after full integration.,許多 EMC 問題只有在完整整合後才會浮現。,Converter noise may surface when all avionics boxes are powered.,當所有航電設備上電後，轉換器雜訊可能浮現。,Overall / Introduction,3,0,
7,applicable standards,/ˈæp.lɪ.kə.bəl ˈstæn.dɚdz/,適用標準,MIL-STD-461 and MIL-STD-464 are applicable standards.,MIL-STD-461 與 MIL-STD-464 是適用標準。,Applicable standards should be listed before test planning begins.,在測試規劃開始前應列出適用標準。,Overall / Introduction,3,0,
8,table of contents,/ˈteɪ.bəl əv ˈkɑːn.tents/,目錄,The table of contents lists all major EMC topics.,目錄列出所有主要 EMC 主題。,A clear table of contents helps reviewers find each section quickly.,清楚的目錄可幫助審查者快速找到各章節。,Overall / Introduction,2,0,
9,requirement,/rɪˈkwaɪr.mənt/,需求、要求,Each subsystem must meet the EMC requirements.,每個子系統都必須符合 EMC 需求。,"The requirement should include limits, methods, and verification criteria.",需求應包含限制值、方法與驗證準則。,Requirements / Standards,3,0,
10,flow-down,/ˈfloʊ daʊn/,需求下展、需求分解,Vehicle-level requirements are flowed down to each box.,載具級需求會下展到每個設備盒。,Requirement flow-down prevents gaps between system and subsystem design.,需求下展可避免系統與子系統設計之間產生落差。,Requirements / Standards,5,1,2026-06-17
