id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
5,mission requirement,/ˈmɪʃən rɪˈkwaɪərmənt/,任務需求,A mission requirement is usually defined at the highest level.,任務需求通常在最高層級定義。,The mission requirement drives the system-level EMC design.,任務需求會推動系統層級的 EMC 設計。,Requirements & Process,3,0,
6,system requirement,/ˈsɪstəm rɪˈkwaɪərmənt/,系統需求,The system requirement must be traceable to the mission objective.,系統需求必須能追溯到任務目標。,A clear system requirement prevents different teams from using different assumptions.,清楚的系統需求可避免不同團隊使用不同假設。,Requirements & Process,3,0,
4,allocated baseline,/ˈæləkeɪtɪd ˈbeɪslaɪn/,分配基準；配置基準,The allocated baseline defines the design-to requirements.,分配基準定義了設計所需符合的要求。,Each subsystem should follow the allocated baseline.,每個子系統都應遵循分配基準。,Requirements & Process,4,0,
7,functional analysis,/ˈfʌŋkʃənəl əˈnæləsɪs/,功能分析,Functional analysis breaks a high-level requirement into detailed functions.,功能分析會把高層級需求拆成詳細功能。,The team used functional analysis to define bonding interfaces.,團隊使用功能分析來定義接合介面。,Requirements & Process,4,0,
1,implementation,/ˌɪmplɪmenˈteɪʃən/,實作；落實；執行,The implementation must be shown on the engineering drawing.,實作方式必須呈現在工程圖面上。,Good implementation makes the design easier to verify.,良好的落實方式會讓設計更容易驗證。,Requirements & Process,3,0,
9,interface constraint,/ˈɪntərfeɪs kənˈstreɪnt/,介面限制；介面約束,The interface constraint defines how the equipment is mounted and connected.,介面限制定義設備如何安裝與連接。,Bonding points should be included as interface constraints.,接合點應納入介面限制中。,Requirements & Process,4,0,
97,dictate,/dɪkˈteɪt/,規定；命令；指定,The designer does not need to dictate how manufacturing performs the bonding task.,設計師不需要規定製造單位如何執行 搭接 作業。,The specification may dictate the required test method.,規範可能會指定所需的測試方法。,Requirements & Process,Intermediate,0,
98,entail,/ɪnˈteɪl/,涉及；包含；需要,The engineer should understand what the task entails.,工程師應了解這項任務包含哪些工作。,This design change may entail additional verification.,這項設計變更可能需要額外驗證。,Requirements & Process,Intermediate,0,
102,achieve,/əˈtʃiːv/,達成；實現,Proper bonding helps achieve the shielding objective.,適當的 搭接 有助於達成 屏蔽 目標。,"To achieve low resistance, remove nonconductive coatings from the faying surface.",為達成低電阻，需移除接合面的非導電塗層。,Requirements & Process,Basic,0,
110,intent of,/ɪnˈtent əv/,……的目的；……的意圖,The intent of a Class H bond is to prevent shock hazards.,H 類搭接 的目的在於防止電擊危害。,Understand the intent of the requirement before selecting a method.,選擇方法前，要先理解要求的目的。,Requirements & Process,Intermediate,0,
94,margin,/ˈmɑːrdʒɪn/,裕度；安全餘裕,The design should keep enough electrical and thermal margin.,設計應保留足夠的電氣與熱裕度。,A poor bonding path can reduce EMC margin.,不良接合路徑可能降低 EMC 裕度。,Engineering General,2,0,
95,mitigation,/ˌmɪtɪˈɡeɪʃən/,緩解；降低風險措施,Corrosion mitigation must be included in the design.,設計中必須包含腐蝕緩解措施。,The copper reference ring is one mitigation for RF coupling.,銅參考環是降低 RF 耦合的一項措施。,Engineering General,3,0,
96,assumption,/əˈsʌmpʃən/,假設,"The table values are assumptions, not final acceptance limits.",表格數值是假設，不是最終驗收限制。,Every design assumption should be reviewed with the consultant.,每個設計假設都應與顧問確認。,Engineering General,2,0,
101,essential,/ɪˈsenʃəl/,必要的；不可或缺的,Electrical continuity is essential across mechanical joints.,機械接合處的電氣連續性是必要的。,A low-impedance path is essential for RF bonding.,低阻抗路徑對 RF 搭接 是必要的。,General Engineering,Basic,0,
105,incorporate,/ɪnˈkɔːrpəreɪt/,納入；整合；包含,The designer must incorporate mechanical and thermal requirements.,設計師必須納入機械與熱要求。,The panel design should incorporate dedicated bonding points.,板件設計應納入專用 搭接 點。,Design Integration,Intermediate,0,
106,compromise,/ˈkɑːmprəmaɪz/,妥協；折衷；取捨,The final design may require a compromise between weight and EMC margin.,最終設計可能需要在重量和 EMC 裕度之間取捨。,Avoid a compromise that weakens the fault-current path.,避免做出會削弱故障電流路徑的妥協。,Design Tradeoff,Intermediate,0,
201,requirements flowdown,/rɪˈkwaɪərmənts ˈfloʊdaʊn/,需求逐層分解與下達,Requirements flowdown is an iterative process across system levels.,需求逐層分解與下達是在各系統層級間反覆進行的流程。,Clear requirements flowdown is important for every design team.,清楚的需求逐層下達對每個設計團隊都很重要。,Requirements & Process,4,0,
202,derived requirement,/dɪˈraɪvd rɪˈkwaɪərmənt/,衍生需求,A derived requirement is created from system analysis and interfaces.,衍生需求是由系統分析與介面關係所產生。,Each derived requirement is part of the allocated baseline.,每項衍生需求都是分配基準的一部分。,Requirements & Process,4,0,
203,producibility,/prəˌduːsəˈbɪləti/,可製造性,Producibility is the ability to manufacture a design consistently.,可製造性是以一致方式製造設計的能力。,Producibility is included when the allocated baseline is developed.,建立分配基準時會納入可製造性。,Requirements & Process,4,0,
204,reliability,/rɪˌlaɪəˈbɪləti/,可靠度,Reliability is the ability of a system to perform as intended.,可靠度是系統依預期執行功能的能力。,Reliability is considered with other derived requirements.,可靠度會與其他衍生需求一併考量。,Requirements & Process,3,0,
205,supportability,/səˌpɔːrtəˈbɪləti/,支援性；維護支援能力,Supportability is the ability to maintain and support a system.,支援性是維護與支援系統的能力。,Supportability is part of the allocated design baseline.,支援性是分配設計基準的一部分。,Requirements & Process,4,0,
206,physical hierarchy,/ˈfɪzɪkəl ˈhaɪərɑːrki/,實體階層,A physical hierarchy is an ordered structure of systems and components.,實體階層是系統與元件的有序結構。,The lowest level of the physical hierarchy is assigned to a design team.,實體階層的最底層會分配給設計團隊負責。,Requirements & Process,4,0,
207,design-to requirement,/dɪˈzaɪn tuː rɪˈkwaɪərmənt/,設計必須符合的需求,A design-to requirement is a requirement that directly controls the design.,設計必須符合的需求會直接約束設計。,Each design-to requirement is defined in the allocated baseline.,每項設計必須符合的需求都定義於分配基準中。,Requirements & Process,4,0,
208,preferred method,/prɪˈfɜːrd ˈmeθəd/,優先採用的方法,A preferred method is the selected option when several methods are acceptable.,優先採用的方法是在多種可接受方法中選定的方式。,The preferred method is noted on the design when one option is better.,當某個選項較佳時，優先採用的方法會註記在設計中。,Requirements & Process,3,0,
265,requirement allocation,/rɪˈkwaɪərmənt ˌæləˈkeɪʃən/,需求分配,Requirement allocation is the process of assigning requirements to system elements.,需求分配是將需求指派給系統元素的流程。,Clear requirement allocation is necessary before detailed design begins.,開始詳細設計前，清楚的需求分配是必要的。,Requirements & Process,4,0,
266,design responsibility,/dɪˈzaɪn rɪˌspɑːnsəˈbɪləti/,設計責任,Design responsibility is assigned to the team that develops each component.,設計責任會指派給負責開發各元件的團隊。,Each design responsibility is defined at the bottom of the physical hierarchy.,每項設計責任都會在實體階層的最底層定義。,Requirements & Process,3,0,
281,mechanical designer,/məˈkænɪkəl dɪˈzaɪnər/,機械設計人員,"The handbook discusses the term ""mechanical designer"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「機械設計人員」。,"The design team reviews ""mechanical designer"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「機械設計人員」。,Requirements & Process,4,0,
282,electrical bonding requirement,/ɪˈlɛktrɪkəl ˈbɑndɪŋ rɪkˈwaɪrmənt/,電氣接合要求,"The handbook discusses the term ""electrical bonding requirement"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「電氣接合要求」。,"The design team reviews ""electrical bonding requirement"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「電氣接合要求」。,Requirements & Process,4,0,
283,space vehicle,/speɪs ˈviɪkəl/,太空載具,"The handbook discusses the term ""space vehicle"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「太空載具」。,"The design team reviews ""space vehicle"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「太空載具」。,Requirements & Process,4,0,
284,manufacturing organization,/ˌmænjəˈfækʧərɪŋ ˌɔrgənəˈzeɪʃən/,製造組織,"The handbook discusses the term ""manufacturing organization"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「製造組織」。,"The design team reviews ""manufacturing organization"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「製造組織」。,Requirements & Process,4,0,
285,design preference,/dɪˈzaɪn ˈprɛfərəns/,設計偏好,"The handbook discusses the term ""design preference"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「設計偏好」。,"The design team reviews ""design preference"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「設計偏好」。,Requirements & Process,4,0,
286,bonding road map,/ˈbɑndɪŋ roʊd mæp/,接合設計路線圖,"The handbook discusses the term ""bonding road map"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「接合設計路線圖」。,"The design team reviews ""bonding road map"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「接合設計路線圖」。,Requirements & Process,4,0,
287,iterative process,/ˈɪtərˌeɪtɪv ˈprɔˌsɛs/,反覆迭代流程,"The handbook discusses the term ""iterative process"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「反覆迭代流程」。,"The design team reviews ""iterative process"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「反覆迭代流程」。,Requirements & Process,4,0,
288,system requirements review,/ˈsɪstəm rɪkˈwaɪrmənts ˌrivˈju/,系統需求審查,"The handbook discusses the term ""system requirements review"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「系統需求審查」。,"The design team reviews ""system requirements review"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「系統需求審查」。,Requirements & Process,4,0,
289,requirements baseline,/rɪkˈwaɪrmənts ˈbeɪsˌlaɪn/,需求基準,"The handbook discusses the term ""requirements baseline"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「需求基準」。,"The design team reviews ""requirements baseline"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「需求基準」。,Requirements & Process,4,0,
290,system technical requirement,/ˈsɪstəm ˈtɛknɪkəl rɪkˈwaɪrmənt/,系統技術要求,"The handbook discusses the term ""system technical requirement"" during requirements development and flowdown.",本手冊在需求發展與傳遞流程中說明「系統技術要求」。,"The design team reviews ""system technical requirement"" before the bonding requirement is released.",設計團隊會在電氣接合要求發行前考量「系統技術要求」。,Requirements & Process,4,0,
