id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
257,capacitive reactance,/kəˈpæsətɪv riˈæktəns/,容抗,Capacitive reactance is the opposition of a capacitor to alternating current.,容抗是電容器對交流電所呈現的阻礙。,Capacitive reactance is dependent on frequency and capacitance.,容抗取決於頻率與電容量。,Glossary,5,0,
258,inductive reactance,/ɪnˈdʌktɪv riˈæktəns/,感抗,Inductive reactance is the opposition of an inductor to alternating current.,感抗是電感器對交流電所呈現的阻礙。,Inductive reactance is greater when frequency or inductance increases.,當頻率或電感增加時，感抗會變大。,Glossary,5,0,
259,conductance,/kənˈdʌktəns/,電導,Conductance is the reciprocal of electrical resistance.,電導是電阻的倒數。,Conductance is expressed in siemens.,電導以西門子為單位表示。,Glossary,4,0,
483,phase angle,/feɪz ˈæŋgəl/,相位角,"The term ""phase angle"" appears in the handbook glossary or cleaning guidance.",「相位角」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""phase angle"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「相位角」。,Glossary & Cleaning,4,0,
484,complex quantity,/ˈkɑmplɛks kˈwɑntəti/,複數量,"The term ""complex quantity"" appears in the handbook glossary or cleaning guidance.",「複數量」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""complex quantity"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「複數量」。,Glossary & Cleaning,4,0,
485,imaginary part,/ˌɪˈmæʤəˌnɛri pɑrt/,虛部,"The term ""imaginary part"" appears in the handbook glossary or cleaning guidance.",「虛部」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""imaginary part"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「虛部」。,Glossary & Cleaning,4,0,
260,surface resistance,/ˈsɜːrfɪs rɪˈzɪstəns/,表面電阻,Surface resistance is measured along the surface of a material.,表面電阻是沿材料表面量測的電阻。,Surface resistance is important when evaluating static-charge dissipation.,評估靜電荷消散時，表面電阻很重要。,Glossary,4,0,
261,bulk resistivity,/bʌlk ˌriːzɪˈstɪvəti/,體積電阻率,Bulk resistivity is an intrinsic electrical property of a material.,體積電阻率是材料本身的電氣特性。,Bulk resistivity is used to compare conductive and insulating materials.,體積電阻率用於比較導電與絕緣材料。,Glossary,5,0,
262,electrostatic charge,/ɪˌlektroʊˈstætɪk tʃɑːrdʒ/,靜電荷,Electrostatic charge is an imbalance of electric charge on an item.,靜電荷是物件上電荷不平衡的狀態。,Electrostatic charge is dissipated through a suitable bonding path.,靜電荷會經由適當的接合路徑消散。,Glossary,4,0,
73,reference plane,/ˈrefərəns pleɪn/,參考平面,The copper layer acts as a local reference plane.,銅層可作為局部參考平面。,All critical shields should return to the reference plane.,所有關鍵屏蔽都應回到參考平面。,EMC / RF,4,0,
486,zero reference potential,/ˈziroʊ ˈrɛfərəns pəˈtɛnʃəl/,零參考電位,"The term ""zero reference potential"" appears in the handbook glossary or cleaning guidance.",「零參考電位」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""zero reference potential"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「零參考電位」。,Glossary & Cleaning,4,0,
487,primary structure,/ˈpraɪˌmɛri ˈstrəkʧər/,主結構,"The term ""primary structure"" appears in the handbook glossary or cleaning guidance.",「主結構」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""primary structure"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「主結構」。,Glossary & Cleaning,4,0,
488,secondary structure,/ˈsɛkənˌdɛri ˈstrəkʧər/,次結構,"The term ""secondary structure"" appears in the handbook glossary or cleaning guidance.",「次結構」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""secondary structure"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「次結構」。,Glossary & Cleaning,4,0,
489,tertiary structure,/ˈtərʃəri ˈstrəkʧər/,第三級結構,"The term ""tertiary structure"" appears in the handbook glossary or cleaning guidance.",「第三級結構」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""tertiary structure"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「第三級結構」。,Glossary & Cleaning,4,0,
490,to fay,/tɪ feɪ/,緊密配合；接合,"The term ""to fay"" appears in the handbook glossary or cleaning guidance.",「緊密配合；接合」出現在本手冊的術語表或清潔指引中。,"The technician reviews ""to fay"" when preparing a bonding surface.",技術人員在準備接合表面時會考量「緊密配合；接合」。,Glossary & Cleaning,4,0,
