id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
1,implementation,/ˌɪmplɪmenˈteɪʃən/,實作；落實；執行,The implementation must be shown on the engineering drawing.,實作方式必須呈現在工程圖面上。,Good implementation makes the design easier to verify.,良好的落實方式會讓設計更容易驗證。,Requirements & Process,3,0,
45,surface preparation,/ˈsɜːrfɪs ˌprepəˈreɪʃən/,表面準備；表面處理前準備,Surface preparation must be defined before manufacturing.,表面準備必須在製造前定義清楚。,The drawing should specify the required surface preparation.,圖面應指定所需的表面準備。,Manufacturing,3,0,
85,engineering drawing,/ˌendʒɪˈnɪrɪŋ ˈdrɔːɪŋ/,工程圖面,The engineering drawing must identify each bonded area.,工程圖面必須標示每個接合區域。,Manufacturing follows the notes on the engineering drawing.,製造單位依照工程圖面上的註記執行。,Drawing & Documentation,3,0,
246,fabrication drawing,/ˌfæbrɪˈkeɪʃən ˈdrɔːɪŋ/,製造圖,A fabrication drawing is used to communicate bonding details for a part.,製造圖用於傳達零件的接合細節。,A fabrication drawing is prepared with the required materials and finishes.,製造圖會標示所需材料與表面處理。,Verification & Drawings,3,0,
247,assembly drawing,/əˈsembli ˈdrɔːɪŋ/,組裝圖,An assembly drawing is used to show bonding between joined parts.,組裝圖用於顯示相接零件之間的接合。,An assembly drawing is prepared with local or flag notes where necessary.,必要時，組裝圖會加入局部註記或旗標註記。,Verification & Drawings,3,0,
248,bonding symbol,/ˈbɑːndɪŋ ˈsɪmbəl/,接合符號,A bonding symbol is used to identify a required bonding location.,接合符號用於識別必要的接合位置。,A bonding symbol is placed near the applicable drawing note.,接合符號會放在適用的圖面註記附近。,Verification & Drawings,3,0,
275,production inspection,/prəˈdʌkʃən ɪnˈspekʃən/,生產檢驗,Production inspection is used to confirm that bonding details are correctly built.,生產檢驗用於確認接合細節已正確製作。,A clear drawing note is important for repeatable production inspection.,清楚的圖面註記對可重複的生產檢驗很重要。,Verification & Drawings,4,0,
433,area to be bonded,/ˈɛriə tɪ bi ˈbɑndɪd/,待接合區域,"The term ""area to be bonded"" supports communication or verification of the bonding requirement.",「待接合區域」有助於傳達或驗證接合要求。,"The engineering team reviews ""area to be bonded"" before releasing the drawing.",工程團隊會在圖面發行前審查「待接合區域」。,Verification & Drawings,4,0,
434,class of bond,/klæs əv bɑnd/,接合等級,"The term ""class of bond"" supports communication or verification of the bonding requirement.",「接合等級」有助於傳達或驗證接合要求。,"The engineering team reviews ""class of bond"" before releasing the drawing.",工程團隊會在圖面發行前審查「接合等級」。,Verification & Drawings,4,0,
435,strap dimension,/stræp dɪˈmɛnʃən/,接合帶尺寸,"The term ""strap dimension"" supports communication or verification of the bonding requirement.",「接合帶尺寸」有助於傳達或驗證接合要求。,"The engineering team reviews ""strap dimension"" before releasing the drawing.",工程團隊會在圖面發行前審查「接合帶尺寸」。,Verification & Drawings,4,0,
436,strap location,/stræp loʊˈkeɪʃən/,接合帶位置,"The term ""strap location"" supports communication or verification of the bonding requirement.",「接合帶位置」有助於傳達或驗證接合要求。,"The engineering team reviews ""strap location"" before releasing the drawing.",工程團隊會在圖面發行前審查「接合帶位置」。,Verification & Drawings,4,0,
437,fastener torque,/ˈfæsənər tɔrk/,緊固件扭矩,"The term ""fastener torque"" supports communication or verification of the bonding requirement.",「緊固件扭矩」有助於傳達或驗證接合要求。,"The engineering team reviews ""fastener torque"" before releasing the drawing.",工程團隊會在圖面發行前審查「緊固件扭矩」。,Verification & Drawings,4,0,
453,critical bond path,/ˈkrɪtɪkəl bɑnd pæθ/,關鍵接合路徑,"The term ""critical bond path"" supports communication or verification of the bonding requirement.",「關鍵接合路徑」有助於傳達或驗證接合要求。,"The engineering team reviews ""critical bond path"" before releasing the drawing.",工程團隊會在圖面發行前審查「關鍵接合路徑」。,Verification & Drawings,4,0,
