id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
1,consultant question,/kənˈsʌltənt ˈkwestʃən/,顧問問題,This slide summarizes the responses to consultant questions.,這張簡報彙整了對顧問問題的回覆。,Each consultant question should be answered with clear supporting information.,每個顧問問題都應以清楚的佐證資訊回覆。,Consultant Communication / Reply,Basic,0,
2,response,/rɪˈspɑːns/,回覆；回應,Please refer to the attached file for our responses to your questions.,請參考附件中我們對您問題的回覆。,The response should be concise but technically complete.,回覆應簡潔但技術內容完整。,Consultant Communication / Reply,Basic,0,
3,briefing document,/ˈbriːfɪŋ ˈdɑːkjumənt/,簡報文件；說明文件,Please refer to the briefing document for more details.,更多細節請參考簡報文件。,The briefing document summarizes the current grounding concept.,該簡報文件彙整了目前的接地概念。,Consultant Communication / Reply,Basic,0,
4,supporting explanation,/səˈpɔːrtɪŋ ˌekspləˈneɪʃən/,補充說明；佐證說明,The attached file includes our responses and supporting explanations.,附件包含我們的回覆與補充說明。,A supporting explanation is provided for the proposed bonding method.,針對建議的搭接方法已提供補充說明。,Consultant Communication / Reply,Intermediate,0,
5,for more details,/fɔːr mɔːr dɪˈteɪlz/,更多細節；詳細內容,Please refer to the attached briefing document for more details.,更多細節請參考附件簡報文件。,"For more details, please see the grounding layout on the next slide.",更多細節請見下一頁的接地配置圖。,Consultant Communication / Reply,Basic,0,
6,interface,/ˈɪntərfeɪs/,介面；接口,The bonding resistance shall be checked at each interface.,每個介面的搭接電阻都應被檢查。,The interface between the panel and the ring is critical for EMC.,面板與航電環之間的介面對 EMC 很關鍵。,Engineering Documentation / Assumptions,Intermediate,0,
7,preliminarily,/prɪˌlɪməˈnerəli/,初步地；暫時地,The structural department has preliminarily agreed to this approach.,結構部門已初步同意此作法。,The acceptance values were preliminarily defined for discussion.,驗收值是為了討論而初步定義的。,Engineering Documentation / Assumptions,Intermediate,0,
8,internally,/ɪnˈtɜːrnəli/,在內部；內部地,The copper foil and busbars will be installed internally.,銅箔與銅排將安裝在內部。,This change should be reviewed internally before sending it to the consultant.,此變更在送給顧問前應先進行內部審查。,Engineering Documentation / Assumptions,Basic,0,
9,preliminary assumption,/prɪˈlɪməneri əˈsʌmpʃən/,初步假設,The values shown in this table are preliminary assumptions.,此表中的數值為初步假設。,This grounding layout is based on a preliminary assumption.,此接地配置是基於初步假設。,Engineering Documentation / Assumptions,Intermediate,0,
10,engineering design assumption,/ˌendʒɪˈnɪrɪŋ dɪˈzaɪn əˈsʌmpʃən/,工程設計假設,The following are engineering design assumptions.,以下是工程設計假設。,Engineering design assumptions should be clearly separated from final requirements.,工程設計假設應與最終需求清楚區分。,Engineering Documentation / Assumptions,Intermediate,0,
