id,word,pronunciation,chinese_meaning,example_1_en,example_1_zh,example_2_en,example_2_zh,category,difficulty,review_count,last_review_date
1,table,/ˈteɪ.bəl/,桌位；桌子,Could we have a table for five?,我們可以要五人桌嗎？,This table is close to the entrance.,這張桌子靠近入口。,Food,easy,0,
2,menu,/ˈmen.juː/,菜單,"May I see the menu, please?",可以給我看菜單嗎？,Does the menu have pictures?,菜單有圖片嗎？,Food,easy,0,
3,order,/ˈɔːr.dɚ/,點餐；訂購,We are ready to order.,我們準備好點餐了。,I would like to order chicken rice.,我想點海南雞飯。,Food,easy,0,
4,dish,/dɪʃ/,菜色；一道菜,Which dish do you recommend?,你推薦哪一道菜？,This dish is good for sharing.,這道菜適合分著吃。,Food,easy,0,
5,meal,/miːl/,餐點；一餐,This meal is for my child.,這份餐是給我的小孩。,We need a quick meal before the show.,表演前我們需要快速吃一餐。,Food,easy,0,
6,set meal,/ˈset miːl/,套餐,Do you have a kids’ set meal?,你們有兒童套餐嗎？,The set meal comes with a drink.,這份套餐附一杯飲料。,Food,medium,0,
7,kids’ meal,/ˈkɪdz miːl/,兒童餐,We would like two kids’ meals.,我們想要兩份兒童餐。,Does the kids’ meal include fries?,兒童餐有包含薯條嗎？,Food,medium,0,
8,portion,/ˈpɔːr.ʃən/,份量,Is the portion big enough to share?,這份量夠分著吃嗎？,The portion is too large for one child.,這份量對一個小孩來說太多了。,Food,medium,0,
9,share,/ʃer/,分享；分食,We will share this dish.,我們會分食這道菜。,Can we have extra plates to share?,我們可以多拿幾個盤子分食嗎？,Food,easy,0,
10,spicy,/ˈspaɪ.si/,辣的,Is this spicy?,這個會辣嗎？,My kids cannot eat spicy food.,我的小孩不能吃辣。,Food,easy,0,
11,mild,/maɪld/,不太辣的；溫和的,Please make it mild for the kids.,請幫小孩做不太辣。,I prefer mild curry.,我比較喜歡不太辣的咖哩。,Food,medium,0,
12,less spicy,/les ˈspaɪ.si/,少辣,Can you make it less spicy?,可以做少辣嗎？,Please make the noodles less spicy.,請把麵做少辣一點。,Food,easy,0,
13,not spicy,/nɑːt ˈspaɪ.si/,不辣,Please make it not spicy.,請做成不辣。,Is there a not spicy option?,有不辣的選項嗎？,Food,easy,0,
14,sauce,/sɔːs/,醬料,Please put the sauce on the side.,請把醬料另外放。,Does this sauce contain peanuts?,這個醬有花生嗎？,Food,easy,0,
15,soup,/suːp/,湯,Is the soup hot?,這個湯燙嗎？,Could we have one bowl of soup?,可以給我們一碗湯嗎？,Food,easy,0,
16,rice,/raɪs/,飯；米飯,My child would like chicken rice.,我的小孩想吃雞飯。,Can we have extra rice?,可以多給我們一點飯嗎？,Food,easy,0,
17,noodles,/ˈnuː.dəlz/,麵,Do you have fishball noodles?,你們有魚丸麵嗎？,The noodles are for my son.,這碗麵是給我兒子的。,Food,easy,0,
18,fried rice,/fraɪd raɪs/,炒飯,"One fried rice, please.",請給我一份炒飯。,Can you make the fried rice without chili?,炒飯可以不要加辣椒嗎？,Food,easy,0,
19,chicken rice,/ˈtʃɪk.ɪn raɪs/,海南雞飯,Is the chicken rice boneless?,海南雞飯有去骨嗎？,We would like three plates of chicken rice.,我們想要三盤海南雞飯。,Food,easy,0,
20,fishball noodles,/ˈfɪʃ.bɔːl ˈnuː.dəlz/,魚丸麵,My kids like fishball noodles.,我的小孩喜歡魚丸麵。,Is the fishball noodles soup or dry?,魚丸麵是湯的還是乾的？,Food,medium,0,
21,wonton noodles,/ˈwɑːn.tɑːn ˈnuː.dəlz/,雲吞麵,We would like one wonton noodles.,我們想要一份雲吞麵。,Please make the wonton noodles less salty.,雲吞麵請做淡一點。,Food,medium,0,
22,laksa,/ˈlɑːk.sə/,叻沙,Is the laksa very spicy?,叻沙會很辣嗎？,"I would like to try laksa, but not too spicy.",我想試試叻沙，但不要太辣。,Food,hard,0,
23,satay,/ˈsɑː.teɪ/,沙嗲,Does the satay sauce contain peanuts?,沙嗲醬有花生嗎？,We would like ten sticks of chicken satay.,我們想要十串雞肉沙嗲。,Food,medium,0,
24,bak kut teh,/ˌbɑː kuːt ˈteɪ/,肉骨茶,Is the bak kut teh peppery?,肉骨茶胡椒味重嗎？,Can we have more soup for the bak kut teh?,肉骨茶可以加湯嗎？,Food,hard,0,
25,kaya toast,/ˈkaɪ.ə toʊst/,咖椰吐司,We would like kaya toast for breakfast.,我們早餐想吃咖椰吐司。,Does the kaya toast come with eggs?,咖椰吐司有附蛋嗎？,Food,medium,0,
26,roti prata,/ˈroʊ.ti ˈprɑː.tə/,印度煎餅,Can we have roti prata without curry?,可以不要咖哩醬嗎？,My child wants plain roti prata.,我的小孩想要原味印度煎餅。,Food,hard,0,
27,dim sum,/ˌdɪm ˈsʌm/,點心,Do you serve dim sum?,你們有賣點心嗎？,We would like some dim sum to share.,我們想點一些點心分食。,Food,medium,0,
28,dumpling,/ˈdʌmp.lɪŋ/,餃子；水餃,My child would like a dumpling.,我的小孩想吃一顆餃子。,Are the dumplings steamed or fried?,這些餃子是蒸的還是煎的？,Food,medium,0,
29,seafood,/ˈsiː.fuːd/,海鮮,Does this dish have seafood?,這道菜有海鮮嗎？,We need a non-seafood option.,我們需要非海鮮的選項。,Food,medium,0,
30,shrimp,/ʃrɪmp/,蝦子,My child is allergic to shrimp.,我的小孩對蝦子過敏。,Please remove the shrimp from this dish.,請把這道菜裡的蝦子拿掉。,Food,medium,0,
31,crab,/kræb/,螃蟹,Is the crab spicy?,螃蟹會辣嗎？,We would like to try chilli crab.,我們想試試辣椒螃蟹。,Food,medium,0,
32,chicken,/ˈtʃɪk.ɪn/,雞肉,"We would like chicken, not beef.",我們想要雞肉，不要牛肉。,Is the chicken steamed or fried?,雞肉是蒸的還是炸的？,Food,easy,0,
33,pork,/pɔːrk/,豬肉,Does this soup contain pork?,這個湯有豬肉嗎？,We do not want pork in this dish.,這道菜我們不要豬肉。,Food,medium,0,
34,beef,/biːf/,牛肉,My child does not eat beef.,我的小孩不吃牛肉。,Does this noodle soup have beef?,這碗湯麵有牛肉嗎？,Food,easy,0,
35,egg,/eɡ/,蛋,Does this dish contain egg?,這道菜有蛋嗎？,Can we add an egg?,可以加一顆蛋嗎？,Food,easy,0,
36,peanut,/ˈpiː.nʌt/,花生,Please make sure there are no peanuts.,請確認沒有花生。,My child has a peanut allergy.,我的小孩對花生過敏。,Food,medium,0,
37,allergy,/ˈæl.ɚ.dʒi/,過敏,My child has a food allergy.,我的小孩有食物過敏。,Is this safe for someone with an allergy?,這個對有過敏的人安全嗎？,Food,hard,0,
38,vegetarian,/ˌvedʒ.əˈter.i.ən/,素食的；素食者,Do you have vegetarian food?,你們有素食嗎？,My wife would like a vegetarian meal.,我太太想要一份素食餐。,Food,hard,0,
39,halal,/həˈlɑːl/,清真的,Is this restaurant halal?,這間餐廳是清真的嗎？,We are looking for halal food near the zoo.,我們在動物園附近找清真食物。,Food,hard,0,
40,water,/ˈwɑː.t̬ɚ/,水,Could we have some water?,可以給我們一些水嗎？,Do you sell bottled water?,你們有賣瓶裝水嗎？,Food,easy,0,
41,warm water,/wɔːrm ˈwɑː.t̬ɚ/,溫水,Could we have warm water for the kids?,可以給小孩溫水嗎？,My child needs warm water for medicine.,我的小孩吃藥需要溫水。,Food,easy,0,
42,ice,/aɪs/,冰塊,"No ice, please.",請不要加冰。,Can we have a cup of ice?,可以給我們一杯冰塊嗎？,Food,easy,0,
43,juice,/dʒuːs/,果汁,Do you have apple juice?,你們有蘋果汁嗎？,"One orange juice without ice, please.",請給我一杯柳橙汁，不加冰。,Food,easy,0,
44,dessert,/dɪˈzɝːt/,甜點,What desserts do you have?,你們有什麼甜點？,The kids would like ice cream for dessert.,小孩想吃冰淇淋當甜點。,Food,medium,0,
45,spoon,/spuːn/,湯匙,Could we have three spoons?,可以給我們三支湯匙嗎？,My child dropped the spoon.,我的小孩把湯匙掉了。,Food,easy,0,
46,fork,/fɔːrk/,叉子,My child needs a fork.,我的小孩需要叉子。,Could we have one more fork?,可以再給我們一支叉子嗎？,Food,easy,0,
47,bowl,/boʊl/,碗,Could we have small bowls?,可以給我們小碗嗎？,This bowl is for sharing soup.,這個碗是用來分湯的。,Food,easy,0,
48,takeaway,/ˈteɪk.ə.weɪ/,外帶,Can we get this takeaway?,這個可以外帶嗎？,Please pack the leftovers for takeaway.,請把剩下的食物打包外帶。,Food,medium,0,
49,bill,/bɪl/,帳單,"Could we have the bill, please?",可以買單嗎？,Is service charge included in the bill?,帳單有包含服務費嗎？,Food,easy,0,
50,receipt,/rɪˈsiːt/,收據,May I have a receipt?,可以給我收據嗎？,Could I have a receipt?,可以給我收據嗎？,Food,medium,0,
51,clothes,/kloʊðz/,衣服,We need to buy some clothes.,我們需要買一些衣服。,My child needs dry clothes.,我的小孩需要乾衣服。,Clothing / Shopping,easy,0,
52,shirt,/ʃɝːt/,襯衫；上衣,Do you have this shirt for kids?,這件上衣有兒童尺寸嗎？,This shirt is too thick for hot weather.,這件上衣對熱天來說太厚了。,Clothing / Shopping,easy,0,
53,T-shirt,/ˈtiː.ʃɝːt/,T恤,My child needs a clean T-shirt.,我的小孩需要一件乾淨的 T 恤。,Do you have this T-shirt in blue?,這件 T 恤有藍色嗎？,Clothing / Shopping,easy,0,
54,pants,/pænts/,長褲,Do you have light pants?,你們有薄長褲嗎？,These pants are too long for my child.,這件長褲對我的小孩來說太長了。,Clothing / Shopping,easy,0,
55,shorts,/ʃɔːrts/,短褲,We need shorts for hot weather.,我們需要適合熱天的短褲。,Do you sell quick-dry shorts?,你們有賣快乾短褲嗎？,Clothing / Shopping,easy,0,
56,dress,/dres/,洋裝,Do you have this dress in a smaller size?,這件洋裝有小一號嗎？,My daughter wants to try on this dress.,我女兒想試穿這件洋裝。,Clothing / Shopping,easy,0,
57,skirt,/skɝːt/,裙子,My daughter likes this skirt.,我女兒喜歡這件裙子。,Is this skirt available in children’s size?,這件裙子有兒童尺寸嗎？,Clothing / Shopping,easy,0,
58,jacket,/ˈdʒæk.ɪt/,外套,We need a light jacket.,我們需要一件薄外套。,Is this jacket good for rain?,這件外套適合下雨穿嗎？,Clothing / Shopping,easy,0,
59,raincoat,/ˈreɪn.koʊt/,雨衣,Do you sell raincoats for children?,你們有賣兒童雨衣嗎？,We need a raincoat before going to the zoo.,去動物園前我們需要一件雨衣。,Clothing / Shopping,medium,0,
60,poncho,/ˈpɑːn.tʃoʊ/,輕便雨衣,We need a poncho for each child.,每個小孩都需要一件輕便雨衣。,Do you have disposable ponchos?,你們有一次性輕便雨衣嗎？,Clothing / Shopping,medium,0,
61,umbrella,/ʌmˈbrel.ə/,雨傘,Do you sell umbrellas?,你們有賣雨傘嗎？,We need a small umbrella for the kids.,我們需要一把給小孩的小雨傘。,Clothing / Shopping,medium,0,
62,hat,/hæt/,帽子,My child needs a sun hat.,我的小孩需要遮陽帽。,Is this hat adjustable?,這頂帽子可以調整大小嗎？,Clothing / Shopping,easy,0,
63,cap,/kæp/,鴨舌帽,Do you have a cap for kids?,你們有兒童鴨舌帽嗎？,This cap protects my child from the sun.,這頂鴨舌帽可以幫我的小孩遮太陽。,Clothing / Shopping,easy,0,
64,sunglasses,/ˈsʌnˌɡlæs.ɪz/,太陽眼鏡,Do you have children’s sunglasses?,你們有兒童太陽眼鏡嗎？,These sunglasses are too loose.,這副太陽眼鏡太鬆了。,Clothing / Shopping,medium,0,
65,shoes,/ʃuːz/,鞋子,My child’s shoes are wet.,我的小孩鞋子濕了。,Do you have comfortable walking shoes?,你們有舒服的走路鞋嗎？,Clothing / Shopping,easy,0,
66,sandals,/ˈsæn.dəlz/,涼鞋,Do you have sandals for children?,你們有兒童涼鞋嗎？,These sandals are good for hot weather.,這雙涼鞋適合熱天。,Clothing / Shopping,medium,0,
67,sneakers,/ˈsniː.kɚz/,運動鞋,We need comfortable sneakers.,我們需要舒服的運動鞋。,Are these sneakers waterproof?,這雙運動鞋防水嗎？,Clothing / Shopping,medium,0,
68,socks,/sɑːks/,襪子,Do you sell socks?,你們有賣襪子嗎？,My child needs a clean pair of socks.,我的小孩需要一雙乾淨襪子。,Clothing / Shopping,easy,0,
69,underwear,/ˈʌn.dɚ.wer/,內衣褲,We need children’s underwear.,我們需要兒童內衣褲。,Where can I find underwear?,我在哪裡可以找到內衣褲？,Clothing / Shopping,medium,0,
70,swimsuit,/ˈswɪm.suːt/,泳衣,Do you sell swimsuits?,你們有賣泳衣嗎？,My child forgot his swimsuit.,我的小孩忘了帶泳衣。,Clothing / Shopping,medium,0,
71,towel,/ˈtaʊ.əl/,毛巾,We need a small towel.,我們需要一條小毛巾。,Could we have extra towels?,可以多給我們幾條毛巾嗎？,Clothing / Shopping,easy,0,
72,backpack,/ˈbæk.pæk/,背包,I am looking for a small backpack.,我在找一個小背包。,This backpack is light enough for my child.,這個背包夠輕，適合我的小孩。,Clothing / Shopping,medium,0,
73,bag,/bæɡ/,袋子；包包,Could I have a shopping bag?,可以給我購物袋嗎？,This bag is too heavy for my child.,這個袋子對我的小孩來說太重了。,Clothing / Shopping,easy,0,
74,size,/saɪz/,尺寸,What size is this?,這是什麼尺寸？,Do you have this in a larger size?,這個有大一號嗎？,Clothing / Shopping,easy,0,
75,small,/smɔːl/,小號；小的,Do you have a small size?,你們有小號嗎？,This small size fits my child.,這個小號適合我的小孩。,Clothing / Shopping,easy,0,
76,medium,/ˈmiː.di.əm/,中號；中等,I need a medium size.,我需要中號。,Medium is too big for my daughter.,中號對我女兒來說太大了。,Clothing / Shopping,easy,0,
77,large,/lɑːrdʒ/,大號；大的,This large size is too big.,這個大號太大了。,Do you have large in this color?,這個顏色有大號嗎？,Clothing / Shopping,easy,0,
78,extra small,/ˌek.strə ˈsmɔːl/,特小號,Do you have extra small?,你們有特小號嗎？,Extra small might fit my youngest child.,特小號可能適合我最小的小孩。,Clothing / Shopping,medium,0,
79,extra large,/ˌek.strə ˈlɑːrdʒ/,特大號,Do you have extra large?,你們有特大號嗎？,This extra large shirt is for me.,這件特大號上衣是給我的。,Clothing / Shopping,medium,0,
80,children’s size,/ˈtʃɪl.drənz saɪz/,兒童尺寸,Do you have children’s size?,你們有兒童尺寸嗎？,I need children’s size for three kids.,我需要三個小孩的兒童尺寸。,Clothing / Shopping,medium,0,
81,adult size,/əˈdʌlt saɪz/,成人尺寸,Is this adult size?,這是成人尺寸嗎？,Adult size is too large for my child.,成人尺寸對我的小孩來說太大了。,Clothing / Shopping,medium,0,
82,too big,/tuː bɪɡ/,太大,This is too big for my child.,這對我的小孩太大了。,Do you have one size smaller?,你們有小一號嗎？,Clothing / Shopping,easy,0,
83,too small,/tuː smɔːl/,太小,These shoes are too small.,這雙鞋太小了。,This shirt is too small for my son.,這件上衣對我兒子來說太小了。,Clothing / Shopping,easy,0,
84,fit,/fɪt/,合身；適合,Does it fit well?,這樣合身嗎？,These shoes do not fit my child.,這雙鞋不適合我的小孩。,Clothing / Shopping,easy,0,
85,loose,/luːs/,寬鬆的；鬆的,I prefer something loose.,我比較喜歡寬鬆一點。,This hat is too loose.,這頂帽子太鬆了。,Clothing / Shopping,medium,0,
86,tight,/taɪt/,緊的,These shoes are too tight.,這雙鞋太緊了。,The collar feels tight.,領口感覺太緊。,Clothing / Shopping,medium,0,
87,comfortable,/ˈkʌmf.tɚ.bəl/,舒服的,Are these shoes comfortable?,這雙鞋舒服嗎？,We need comfortable clothes for walking.,我們需要適合走路的舒服衣服。,Clothing / Shopping,medium,0,
88,waterproof,/ˈwɑː.t̬ɚ.pruːf/,防水的,Is this jacket waterproof?,這件外套防水嗎？,We need waterproof shoes for rainy weather.,雨天我們需要防水鞋。,Clothing / Shopping,medium,0,
89,quick-dry,/ˈkwɪk draɪ/,快乾的,Do you have quick-dry clothes?,你們有快乾衣物嗎？,Quick-dry shorts are useful in Singapore.,快乾短褲在新加坡很實用。,Clothing / Shopping,medium,0,
90,cotton,/ˈkɑː.tən/,棉；棉質,Is this T-shirt cotton?,這件 T 恤是棉的嗎？,Cotton clothes are comfortable for kids.,棉質衣服對小孩很舒服。,Clothing / Shopping,medium,0,
91,try on,/traɪ ɑːn/,試穿,Can my child try this on?,我的小孩可以試穿這個嗎？,I would like to try on these shoes.,我想試穿這雙鞋。,Clothing / Shopping,easy,0,
92,fitting room,/ˈfɪt̬.ɪŋ ruːm/,試衣間,Where is the fitting room?,試衣間在哪裡？,Is the fitting room available?,試衣間現在可以用嗎？,Clothing / Shopping,medium,0,
93,price,/praɪs/,價格,What is the price of this?,這個多少錢？,The price is higher than I expected.,價格比我預期高。,Clothing / Shopping,easy,0,
94,discount,/ˈdɪs.kaʊnt/,折扣,Is there any discount?,有折扣嗎？,Can I get a discount if I buy three?,如果我買三件可以有折扣嗎？,Clothing / Shopping,medium,0,
95,sale,/seɪl/,特價；折扣活動,Is this item on sale?,這個商品有特價嗎？,The store has a summer sale.,這家店有夏季特賣。,Clothing / Shopping,easy,0,
96,tax refund,/tæks ˈriː.fʌnd/,退稅,Can I get a tax refund?,我可以辦退稅嗎？,Where can I process the tax refund?,我在哪裡可以辦退稅？,Clothing / Shopping,medium,0,
97,exchange,/ɪksˈtʃeɪndʒ/,更換；交換,Can I exchange this if it does not fit?,如果不合身可以更換嗎？,I would like to exchange this for a smaller size.,我想把這個換成小一號。,Clothing / Shopping,medium,0,
98,refund,/ˈriː.fʌnd/,退款,Can I get a refund?,可以退款嗎？,What is your refund policy?,你們的退款規定是什麼？,Clothing / Shopping,medium,0,
99,cashier,/kæˈʃɪr/,收銀台；收銀員,Where is the cashier?,收銀台在哪裡？,Please pay at the cashier.,請到收銀台付款。,Clothing / Shopping,medium,0,
100,shopping mall,/ˈʃɑː.pɪŋ mɔːl/,購物中心,Is there a shopping mall nearby?,附近有購物中心嗎？,We can buy raincoats at the shopping mall.,我們可以在購物中心買雨衣。,Clothing / Shopping,easy,0,
101,hotel,/hoʊˈtel/,飯店；旅館,Our hotel is near the MRT station.,我們的飯店在 MRT 站附近。,Can you show me the way to this hotel?,你可以告訴我怎麼去這間飯店嗎？,Hotel / Accommodation,easy,0,
102,lobby,/ˈlɑː.bi/,大廳,We will wait in the lobby.,我們會在大廳等。,The hotel lobby is on the first floor.,飯店大廳在一樓。,Hotel / Accommodation,easy,0,
103,front desk,/ˌfrʌnt ˈdesk/,櫃台,I need to speak to the front desk.,我需要跟櫃台人員說話。,Please leave the key card at the front desk.,請把房卡留在櫃台。,Hotel / Accommodation,easy,0,
104,receptionist,/rɪˈsep.ʃən.ɪst/,接待人員,The receptionist helped us check in.,接待人員幫我們辦理入住。,Could you ask the receptionist about breakfast?,你可以問接待人員早餐的事嗎？,Hotel / Accommodation,hard,0,
105,reservation,/ˌrez.ɚˈveɪ.ʃən/,訂房；預約,I have a reservation under the name Chen.,我有用 Chen 這個名字訂房。,Could you check my reservation?,可以幫我查一下我的訂房嗎？,Hotel / Accommodation,medium,0,
106,booking,/ˈbʊk.ɪŋ/,預訂；訂房,I made a booking online.,我在網路上訂房。,The booking is for two adults and three children.,這筆訂房是兩位大人和三位小孩。,Hotel / Accommodation,medium,0,
107,confirmation,/ˌkɑːn.fɚˈmeɪ.ʃən/,確認資料；確認信,Here is my booking confirmation.,這是我的訂房確認資料。,I did not receive a confirmation email.,我沒有收到確認信。,Hotel / Accommodation,hard,0,
108,passport,/ˈpæs.pɔːrt/,護照,Here is my passport.,這是我的護照。,Do you need all five passports?,你們需要五本護照嗎？,Hotel / Accommodation,medium,0,
109,check-in,/ˈtʃek.ɪn/,入住；報到,We would like to check in.,我們想辦理入住。,What time does check-in start?,幾點可以開始入住？,Hotel / Accommodation,easy,0,
110,check-out,/ˈtʃek.aʊt/,退房,What time is check-out?,幾點退房？,We would like to check out now.,我們現在想辦理退房。,Hotel / Accommodation,easy,0,
